"From","To","Correlation","P.Value","adj.P.Val"
"KCNV1","LY86-AS1",0.98830118271765,2.07234598013227e-106,4.99228146613865e-102
"KCNV1","SLC26A4-AS1",0.986824927462867,3.97708027995572e-103,4.79039319720667e-99
"LINC00507","LY86-AS1",0.985043274879117,1.26108632633863e-99,1.01265232004992e-95
"LINC00507","KCNV1",0.98311152781227,2.82337464337375e-96,1.70037737897184e-92
"LY86-AS1","SLC26A4-AS1",0.978634473052295,8.42920304989578e-90,4.06119002943979e-86
"LINC00507","SLC26A4-AS1",0.973324841412057,1.05342004617112e-83,4.22948148537705e-80
"LY86-AS1","MCHR2",0.964314330354852,9.73030037152384e-76,3.34861337071442e-72
"KCNV1","MCHR2",0.963857109941982,2.1662875158514e-75,6.52323328210751e-72
"LINC01123","LINC00507",0.963752875061048,2.59615747812951e-75,6.94904818312666e-72
"MCHR2","SLC26A4-AS1",0.96142067768716,1.30473508201437e-73,3.14310681257263e-70
"KCNV1","VIP",0.958136347061469,2.19424412677119e-71,4.80539463762891e-68
"LINC00507","MCHR2",0.956177238294403,3.8507401895205e-70,7.73036093046239e-67
"SLC26A4-AS1","VIP",0.953757162045578,1.11245343587912e-68,2.06146179002523e-65
"LINC01123","KCNV1",0.953700990474022,1.20019001766445e-68,2.06518410896691e-65
"LY86-AS1","CDH9",0.953442937317466,1.69895501580342e-68,2.72852175538029e-65
"LINC01123","LY86-AS1",0.95261203305756,5.13344896674885e-68,7.72904910056123e-65
"LINC00507","VIP",0.950977893984867,4.26775903704102e-67,6.04766560013637e-64
"DCTN1-AS1","STYK1",0.950645489872045,6.5079690487144e-67,8.70983191019611e-64
"STYK1","LY86-AS1",0.949980735329592,1.5001671377752e-66,1.90205401836866e-63
"LY86-AS1","VIP",0.947112606360468,4.8558973306223e-65,5.84892833473456e-62
"STYK1","LINC00507",0.945648933100351,2.65953794202175e-64,3.05086995349066e-61
"SLC26A4-AS1","CDH9",0.945534855945733,3.03043718667847e-64,3.31832871941292e-61
"STYK1","CTXN3",0.945098410779799,4.98089052673045e-64,5.21694142560593e-61
"KCNV1","CDH9",0.94271139808973,7.03375887004283e-63,7.06013546580549e-60
"LINC00507","CDH9",0.94201662997594,1.4880407821953e-62,1.4338760977234e-59
"STYK1","KCNV1",0.941482448643918,2.63089034696249e-62,2.43762109455102e-59
"PRSS3","SLC32A1",0.940486010915436,7.50917708333083e-62,6.69985466434962e-59
"STYK1","SLC26A4-AS1",0.940308596102755,9.03371498803772e-62,7.77222121649388e-59
"KCNV1","ICAM5",0.94006339348077,1.16521967313714e-61,9.67935928478404e-59
"LY86-AS1","RXFP1",0.939971959662097,1.28087960591568e-61,1.02854632355029e-58
