"ProbeID","GeneSymbol","EntrezID","GeneTitle","GOProcess","GOProcessID","GOFunction","GOFunctionID","GOComponent","GOComponentID"
"1007_s_at","MIR4640","100616237","microRNA 4640","branching involved in mammary gland duct morphogenesis///cell adhesion///collagen-activated tyrosine kinase receptor signaling pathway///collagen-activated tyrosine kinase receptor signaling pathway///ear development///embryo implantation///extracellular matrix organization///lactation///mammary gland alveolus development///negative regulation of cell proliferation///organ regeneration///peptidyl-tyrosine autophosphorylation///protein autophosphorylation///regulation of cell growth///regulation of cell-matrix adhesion///regulation of extracellular matrix disassembly///skin development///smooth muscle cell migration///smooth muscle cell-matrix adhesion///wound healing, spreading of cells","GO:0060444///GO:0007155///GO:0038063///GO:0038063///GO:0043583///GO:0007566///GO:0030198///GO:0007595///GO:0060749///GO:0008285///GO:0031100///GO:0038083///GO:0046777///GO:0001558///GO:0001952///GO:0010715///GO:0043588///GO:0014909///GO:0061302///GO:0044319","ATP binding///collagen binding///collagen binding///metal ion binding///protein binding///protein tyrosine kinase collagen receptor activity///transmembrane receptor protein tyrosine kinase activity","GO:0005524///GO:0005518///GO:0005518///GO:0046872///GO:0005515///GO:0038062///GO:0004714","basolateral plasma membrane///extracellular exosome///extracellular space///integral component of plasma membrane///plasma membrane///receptor complex","GO:0016323///GO:0070062///GO:0005615///GO:0005887///GO:0005886///GO:0043235"
"121_at","PAX8","7849","paired box 8","anatomical structure morphogenesis///branching involved in ureteric bud morphogenesis///cellular response to gonadotropin stimulus///central nervous system development///inner ear morphogenesis///kidney development///mesenchymal to epithelial transition involved in metanephros morphogenesis///mesonephros development///metanephric S-shaped body morphogenesis///metanephric comma-shaped body morphogenesis///metanephric distal convoluted tubule development///metanephric epithelium development///metanephric nephron tubule formation///negative regulation of apoptotic process involved in metanephric collecting duct development///negative regulation of apoptotic process involved in metanephric nephron tubule development///negative regulation of mesenchymal cell apoptotic process involved in metanephric nephron morphogenesis///negative regulation of mesenchymal cell apoptotic process involved in metanephros development///otic vesicle development///positive regulation of branching involved in ureteric bud morphogenesis///positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis///positive regulation of metanephric DCT cell differentiation///positive regulation of thyroid hormone generation///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription, DNA-templated///positive regulation of transcription, DNA-templated///pronephric field specification///pronephros development///regulation of apoptotic process///regulation of metanephric nephron tubule epithelial cell differentiation///regulation of thyroid-stimulating hormone secretion///sulfur compound metabolic process///thyroid gland development///thyroid gland development///thyroid-stimulating hormone signaling pathway///transcription from RNA polymerase II promoter///transcription, DNA-templated///urogenital system development","GO:0009653///GO:0001658///GO:0071371///GO:0007417///GO:0042472///GO:0001822///GO:0003337///GO:0001823///GO:0072284///GO:0072278///GO:0072221///GO:0072207///GO:0072289///GO:1900215///GO:1900218///GO:0072305///GO:1900212///GO:0071599///GO:0090190///GO:0072108///GO:2000594///GO:2000611///GO:0045944///GO:0045893///GO:0045893///GO:0039003///GO:0048793///GO:0042981///GO:0072307///GO:2000612///GO:0006790///GO:0030878///GO:0030878///GO:0038194///GO:0006366///GO:0006351///GO:0001655","DNA binding///DNA binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding///RNA polymerase II core promoter sequence-specific DNA binding///protein binding///thyroid-stimulating hormone receptor activity///transcription factor activity, sequence-specific DNA binding///transcription regulatory region DNA binding///transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding","GO:0003677///GO:0003677///GO:0000978///GO:0000979///GO:0005515///GO:0004996///GO:0003700///GO:0044212///GO:0001077","nucleoplasm///nucleoplasm///nucleus","GO:0005654///GO:0005654///GO:0005634"
"1255_g_at","GUCA1A","2978","guanylate cyclase activator 1A","cellular response to calcium ion///phototransduction///positive regulation of guanylate cyclase activity///regulation of rhodopsin mediated signaling pathway///signal transduction///visual perception","GO:0071277///GO:0007602///GO:0031284///GO:0022400///GO:0007165///GO:0007601","calcium ion binding///calcium sensitive guanylate cyclase activator activity///guanylate cyclase regulator activity","GO:0005509///GO:0008048///GO:0030249","photoreceptor disc membrane///photoreceptor inner segment///plasma membrane","GO:0097381///GO:0001917///GO:0005886"
"1405_i_at","CCL5","6352","C-C motif chemokine ligand 5","G-protein coupled receptor signaling pathway///MAPK cascade///activation of phospholipase D activity///aging///calcium ion transport///cell-cell signaling///cellular calcium ion homeostasis///cellular protein complex assembly///cellular response to alkyl hydroperoxide///cellular response to amino acid stimulus///cellular response to ethanol///cellular response to fibroblast growth factor stimulus///cellular response to high density lipoprotein particle stimulus///cellular response to interferon-gamma///cellular response to interleukin-1///cellular response to morphine///cellular response to organic cyclic compound///cellular response to transforming growth factor beta stimulus///cellular response to tumor necrosis factor///cellular response to vitamin K///chemokine-mediated signaling pathway///chemokine-mediated signaling pathway///chemotaxis///chronic inflammatory response///dendritic cell chemotaxis///dibenzo-p-dioxin metabolic process///eosinophil chemotaxis///exocytosis///inflammatory response///leukocyte cell-cell adhesion///lipopolysaccharide-mediated signaling pathway///lymphocyte chemotaxis///macrophage chemotaxis///monocyte chemotaxis///negative regulation by host of viral transcription///negative regulation of G-protein coupled receptor protein signaling pathway///negative regulation of T cell apoptotic process///negative regulation of chemokine-mediated signaling pathway///negative regulation of macrophage apoptotic process///negative regulation of neuron death///negative regulation of viral genome replication///neutrophil activation///neutrophil chemotaxis///positive chemotaxis///positive regulation of ERK1 and ERK2 cascade///positive regulation of GTPase activity///positive regulation of JAK-STAT cascade///positive regulation of T cell apoptotic process///positive regulation of T cell chemotaxis///positive regulation of T cell migration///positive regulation of T cell proliferation///positive regulation of activation of JAK2 kinase activity///positive regulation of angiogenesis///positive regulation of calcium ion transport///positive regulation of cell adhesion///positive regulation of cell migration///positive regulation of cell-cell adhesion mediated by integrin///positive regulation of cellular biosynthetic process///positive regulation of epithelial cell proliferation///positive regulation of fever generation///positive regulation of homotypic cell-cell adhesion///positive regulation of inflammatory response///positive regulation of innate immune response///positive regulation of macrophage chemotaxis///positive regulation of mast cell chemotaxis///positive regulation of monocyte chemotaxis///positive regulation of natural killer cell chemotaxis///positive regulation of neuron differentiation///positive regulation of osteoclast differentiation///positive regulation of phosphatidylinositol 3-kinase signaling///positive regulation of phosphorylation///positive regulation of protein tyrosine kinase activity///positive regulation of smooth muscle cell migration///positive regulation of smooth muscle cell proliferation///positive regulation of translational initiation///positive regulation of tyrosine phosphorylation of STAT protein///positive regulation of viral genome replication///protein kinase B signaling///protein tetramerization///regulation of T cell activation///regulation of chronic inflammatory response///regulation of insulin secretion///regulation of neuron death///response to activity///response to cholesterol///response to drug///response to estrogen///response to glucocorticoid///response to insulin///response to salt stress///response to toxic substance///response to virus","GO:0007186///GO:0000165///GO:0031584///GO:0007568///GO:0006816///GO:0007267///GO:0006874///GO:0043623///GO:0071448///GO:0071230///GO:0071361///GO:0044344///GO:0071403///GO:0071346///GO:0071347///GO:0071315///GO:0071407///GO:0071560///GO:0071356///GO:0071307///GO:0070098///GO:0070098///GO:0006935///GO:0002544///GO:0002407///GO:0018894///GO:0048245///GO:0006887///GO:0006954///GO:0007159///GO:0031663///GO:0048247///GO:0048246///GO:0002548///GO:0043922///GO:0045744///GO:0070233///GO:0070100///GO:2000110///GO:1901215///GO:0045071///GO:0042119///GO:0030593///GO:0050918///GO:0070374///GO:0043547///GO:0046427///GO:0070234///GO:0010820///GO:2000406///GO:0042102///GO:0010535///GO:0045766///GO:0051928///GO:0045785///GO:0030335///GO:0033634///GO:0031328///GO:0050679///GO:0031622///GO:0034112///GO:0050729///GO:0045089///GO:0010759///GO:0060754///GO:0090026///GO:2000503///GO:0045666///GO:0045672///GO:0014068///GO:0042327///GO:0061098///GO:0014911///GO:0048661///GO:0045948///GO:0042531///GO:0045070///GO:0043491///GO:0051262///GO:0050863///GO:0002676///GO:0050796///GO:1901214///GO:0014823///GO:0070723///GO:0042493///GO:0043627///GO:0051384///GO:0032868///GO:0009651///GO:0009636///GO:0009615","CCR1 chemokine receptor binding///CCR1 chemokine receptor binding///CCR1 chemokine receptor binding///CCR4 chemokine receptor binding///CCR5 chemokine receptor binding///chemoattractant activity///chemokine activity///chemokine activity///chemokine receptor antagonist activity///chemokine receptor binding///heparin binding///phosphatidylinositol phospholipase C activity///phospholipase activator activity///protein binding///protein homodimerization activity///protein kinase activity///protein self-association///receptor signaling protein tyrosine kinase activator activity","GO:0031726///GO:0031726///GO:0031726///GO:0031729///GO:0031730///GO:0042056///GO:0008009///GO:0008009///GO:0046817///GO:0042379///GO:0008201///GO:0004435///GO:0016004///GO:0005515///GO:0042803///GO:0004672///GO:0043621///GO:0030298","cytoplasm///extracellular region///extracellular space","GO:0005737///GO:0005576///GO:0005615"
"1487_at","ESRRA","2101","estrogen related receptor alpha","cartilage development///intracellular receptor signaling pathway///mitochondrion organization///negative regulation of transcription from RNA polymerase II promoter///positive regulation of cellular response to insulin stimulus///positive regulation of transcription from RNA polymerase II promoter///regulation of cell proliferation///regulation of osteoblast differentiation///regulation of osteoclast differentiation///regulation of transcription, DNA-templated///response to estradiol///steroid hormone mediated signaling pathway///transcription initiation from RNA polymerase II promoter","GO:0051216///GO:0030522///GO:0007005///GO:0000122///GO:1900078///GO:0045944///GO:0042127///GO:0045667///GO:0045670///GO:0006355///GO:0032355///GO:0043401///GO:0006367","DNA binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding///RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding///protein binding///protein domain specific binding///sequence-specific DNA binding///steroid binding///steroid hormone receptor activity///transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding///transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding///zinc ion binding","GO:0003677///GO:0000978///GO:0004879///GO:0005515///GO:0019904///GO:0043565///GO:0005496///GO:0003707///GO:0001077///GO:0001078///GO:0008270","intercellular bridge///microtubule cytoskeleton///nucleolus///nucleoplasm///nucleus","GO:0045171///GO:0015630///GO:0005730///GO:0005654///GO:0005634"
"1552256_a_at","SCARB1","949","scavenger receptor class B member 1","adhesion of symbiont to host///androgen biosynthetic process///blood vessel endothelial cell migration///cholesterol catabolic process///cholesterol efflux///cholesterol efflux///cholesterol homeostasis///cholesterol import///cholesterol import///detection of lipopolysaccharide///endothelial cell proliferation///high-density lipoprotein particle clearance///high-density lipoprotein particle remodeling///intestinal absorption///lipopolysaccharide transport///lipopolysaccharide-mediated signaling pathway///lipoprotein metabolic process///low-density lipoprotein particle clearance///phospholipid transport///positive regulation of cholesterol storage///positive regulation of endothelial cell migration///positive regulation of nitric-oxide synthase activity///positive regulation of triglyceride biosynthetic process///receptor-mediated endocytosis///recognition of apoptotic cell///regulation of phagocytosis///regulation of phosphatidylcholine catabolic process///reverse cholesterol transport///triglyceride homeostasis///viral entry into host cell///vitamin transmembrane transport///wound healing","GO:0044406///GO:0006702///GO:0043534///GO:0006707///GO:0033344///GO:0033344///GO:0042632///GO:0070508///GO:0070508///GO:0032497///GO:0001935///GO:0034384///GO:0034375///GO:0050892///GO:0015920///GO:0031663///GO:0042157///GO:0034383///GO:0015914///GO:0010886///GO:0010595///GO:0051000///GO:0010867///GO:0006898///GO:0043654///GO:0050764///GO:0010899///GO:0043691///GO:0070328///GO:0046718///GO:0035461///GO:0042060","1-phosphatidylinositol binding///apolipoprotein A-I binding///apolipoprotein binding///high-density lipoprotein particle binding///high-density lipoprotein particle receptor activity///high-density lipoprotein particle receptor activity///lipopolysaccharide binding///lipopolysaccharide receptor activity///low-density lipoprotein particle binding///phosphatidylserine binding///protein binding///protein homodimerization activity///transporter activity///virus receptor activity","GO:0005545///GO:0034186///GO:0034185///GO:0008035///GO:0070506///GO:0070506///GO:0001530///GO:0001875///GO:0030169///GO:0001786///GO:0005515///GO:0042803///GO:0005215///GO:0001618","caveola///cell surface///endocytic vesicle membrane///extracellular exosome///integral component of plasma membrane///intracellular membrane-bounded organelle///lysosomal membrane///microvillus membrane///plasma membrane///plasma membrane","GO:0005901///GO:0009986///GO:0030666///GO:0070062///GO:0005887///GO:0043231///GO:0005765///GO:0031528///GO:0005886///GO:0005886"
"1552257_a_at","TTLL12","23170","tubulin tyrosine ligase like 12","cellular protein modification process","GO:0006464","ATP binding","GO:0005524","",""
"1552258_at","LOC101930489","101930489","uncharacterized LOC101930489","","","","","",""
"1552266_at","ADAM32","203102","ADAM metallopeptidase domain 32","proteolysis","GO:0006508","metalloendopeptidase activity///zinc ion binding","GO:0004222///GO:0008270","integral component of membrane","GO:0016021"
"1552272_a_at","PRR22","163154","proline rich 22","","","","","",""
