"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","EntrezID","GeneTitle","Status"
-5.71497742312894,2.90601472295663,-26.3449385711628,4.36844912281273e-53,8.73995616001142e-49,110.041443708672,"ANKRD34C","390616","ankyrin repeat domain 34C","Down"
-5.02311511182161,3.38407574516846,-21.1455373625365,2.87701512290263e-43,1.72775601404366e-39,87.8645005574771,"CNNM1","26507","cyclin and CBS domain divalent metal cation transport mediator 1","Down"
-5.64370172482885,3.30456646354568,-21.1108406326471,3.38199412810574e-43,1.72775601404366e-39,87.7052644310838,"GLS2","27165","glutaminase 2","Down"
-3.31743501499217,4.08972475950231,-21.106303981709,3.45430302202961e-43,1.72775601404366e-39,87.684432608874,"CARMIL2","146206","capping protein regulator and myosin 1 linker 2","Down"
-7.94112531225123,4.39710476361823,-19.7227915520443,2.4688568023056e-40,9.57886436638729e-37,81.2071717171632,"SVOP","55530","SV2 related protein","Down"
-4.80886650671805,2.9303284861084,-19.6914891719731,2.87265388105782e-40,9.57886436638729e-37,81.0577416676483,"PRSS3","5646","protease, serine 3","Down"
7.40626914854772,5.13171275363746,19.4078328863703,1.13996458668768e-39,3.25818164083721e-36,79.6978056926865,"EFCAB1","79645","EF-hand calcium binding domain 1","Up"
6.05171676799983,10.4695949133864,19.3189199289425,1.75969584805962e-39,4.40077935401609e-36,79.2693678153764,"WEE1","7465","WEE1 G2 checkpoint kinase","Up"
-5.24946403911352,3.9305641331874,-19.2219211596999,2.82895655183824e-39,6.28877041473641e-36,78.8007907541939,"SPTB","6710","spectrin beta, erythrocytic","Down"
-4.23525646114473,3.26296452331101,-19.0699995789072,5.96490209365284e-39,1.19339796187712e-35,78.0644281238126,"DCTN1-AS1","100189589","DCTN1 antisense RNA 1","Down"
3.18580136191955,8.48616030270331,18.8901169997613,1.44826758288495e-38,2.63413541188902e-35,77.1886470543299,"TMEM218","219854","transmembrane protein 218","Up"
-4.11932825846243,3.38418863337799,-18.4216021635824,1.48793715232006e-37,2.48076321720563e-34,74.8878507819018,"SDR16C5","195814","short chain dehydrogenase/reductase family 16C, member 5","Down"
-6.11656418809018,4.60747061364485,-18.3294626443867,2.36032193739925e-37,3.63253546165745e-34,74.4320151628272,"PHF24","23349","PHD finger protein 24","Down"
-7.55279131429375,4.75255237209763,-18.3066797435282,2.64601014106927e-37,3.78133749231235e-34,74.3191332708473,"SULT4A1","25830","sulfotransferase family 4A member 1","Down"
-6.45486969469929,7.86261789870101,-18.1295193323858,6.44773790321136e-37,8.59999281530331e-34,73.439070049583,"CAMK2N2","94032","calcium/calmodulin dependent protein kinase II inhibitor 2","Down"
-6.02217831349428,2.84085460508302,-17.9027735961687,2.02761141519173e-36,2.5354013489838e-33,72.3067786745347,"SLC32A1","140679","solute carrier family 32 member 1","Down"
-6.17706496884592,4.67617557760858,-17.7998142215722,3.41856631651063e-36,4.02325037026048e-33,71.7904521820477,"CDK5R2","8941","cyclin dependent kinase 5 regulatory subunit 2","Down"
-4.17655641332275,4.26909628696722,-17.7202525553429,5.12321428370006e-36,5.69445267633261e-33,71.3905312269243,"GPR26","2849","G protein-coupled receptor 26","Down"
-7.21321658797541,3.5109282986768,-17.6252859972475,8.31205121516952e-36,8.37044338603233e-33,70.9121171021212,"EGR4","1961","early growth response 4","Down"
-9.192421415391,3.81027122701817,-17.623982416528,8.36751475586778e-36,8.37044338603233e-33,70.9055420276981,"GJB6","10804","gap junction protein beta 6","Down"
-4.82098774647737,5.57765232329367,-17.5702920461027,1.10061409604296e-35,1.04857077235864e-32,70.6345472771743,"IQSEC3","440073","IQ motif and Sec7 domain 3","Down"
-8.54390085923287,5.36879790912385,-17.3865241360621,2.81998326744467e-35,2.5645184196257e-32,69.7042290477129,"CELF4","56853","CUGBP, Elav-like family member 4","Down"
4.31684768781142,11.2401157856107,17.3754545437995,2.98481806986603e-35,2.59640239668738e-32,69.6480528459972,"TSPAN6","7105","tetraspanin 6","Up"
-2.15403591316616,2.76799753529367,-17.3463258062105,3.4663294848673e-35,2.8896189168225e-32,69.5001556211248,"VWA5B2","90113","von Willebrand factor A domain containing 5B2","Down"
-7.97896621423013,4.16648670239598,-17.2920292200207,4.58208223597623e-35,3.66694877180706e-32,69.2241857458423,"KCNJ9","3765","potassium voltage-gated channel subfamily J member 9","Down"
-6.20833954731431,2.93285157948473,-17.1759460138991,8.3309601610442e-35,6.41067384392352e-32,68.6329297193029,"ANKRD34A","284615","ankyrin repeat domain 34A","Down"
-6.82731804589252,4.14597790290177,-17.1380038631047,1.01323981673809e-34,7.50810704202923e-32,68.4393083175083,"CPLX2","10814","complexin 2","Down"
