"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","EntrezID","GeneTitle","Status"
-5.52633926383829,2.90601472295663,-24.5390549772357,7.88248535655505e-50,1.57704884528597e-45,102.306179546173,"ANKRD34C","390616","ankyrin repeat domain 34C","Down"
-3.18877238628698,4.08972475950231,-19.5420852964338,5.92957165451722e-40,5.9316470045963e-36,80.1485083291632,"CARMIL2","146206","capping protein regulator and myosin 1 linker 2","Down"
-5.39150388932322,3.30456646354568,-19.4262519393612,1.0420457996821e-39,6.94940343807991e-36,79.5964541896268,"GLS2","27165","glutaminase 2","Down"
-4.6738782868307,3.38407574516846,-18.9522428900027,1.06560400106818e-38,5.32988481234277e-35,77.3188684745585,"CNNM1","26507","cyclin and CBS domain divalent metal cation transport mediator 1","Down"
-5.02547184797954,3.9305641331874,-17.7254100477647,4.99048422524342e-36,1.9968923578889e-32,71.2865536675786,"SPTB","6710","spectrin beta, erythrocytic","Down"
-7.27135043424207,4.39710476361823,-17.3955846837565,2.69189266161502e-35,8.9761160801553e-32,69.6313164725209,"SVOP","55530","SV2 related protein","Down"
-4.39551784868253,2.9303284861084,-17.3373815558639,3.62930163950825e-35,1.03730625573774e-31,69.3377678477128,"PRSS3","5646","protease, serine 3","Down"
-3.99045143140733,3.26296452331101,-17.3073516844634,4.23493074374428e-35,1.05910324237615e-31,69.1861416825425,"DCTN1-AS1","100189589","DCTN1 antisense RNA 1","Down"
-4.11656955614231,4.26909628696722,-16.8238207661171,5.15979959174447e-34,1.1470234492448e-30,66.7288948302635,"GPR26","2849","G protein-coupled receptor 26","Down"
-3.84531841504863,3.38418863337799,-16.5642175259542,1.99828199678117e-33,3.99796279096009e-30,65.3974691267977,"SDR16C5","195814","short chain dehydrogenase/reductase family 16C, member 5","Down"
-8.86274274267545,3.81027122701817,-16.3674072226094,5.60761294147388e-33,1.01992283745516e-29,64.3825163986633,"GJB6","10804","gap junction protein beta 6","Down"
-2.09728323333345,2.76799753529367,-16.2685656381191,9.43153531012726e-33,1.57247272458097e-29,63.8709952192059,"VWA5B2","90113","von Willebrand factor A domain containing 5B2","Down"
