"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","EntrezID","GeneTitle","Status"
-5.70446417326529,2.90601472295663,-21.7977281474153,1.41540151076974e-44,2.83179380259702e-40,90.2709356494915,"ANKRD34C","390616","ankyrin repeat domain 34C","Down"
-5.72479763782316,3.30456646354568,-17.7506932071059,4.3881252525933e-36,4.38966109643171e-32,71.2653571741237,"GLS2","27165","glutaminase 2","Down"
-3.29564407822237,4.08972475950231,-17.3805602334459,2.90762070618279e-35,1.9390922489533e-31,69.4186075184905,"CARMIL2","146206","capping protein regulator and myosin 1 linker 2","Down"
-7.88930274850115,4.39710476361823,-16.2419684110941,1.08499828889788e-32,5.42689019149496e-29,63.6272528400594,"SVOP","55530","SV2 related protein","Down"
-4.73047758303574,2.9303284861084,-16.0566348960833,2.8867752159504e-32,1.15511423491039e-28,62.669196911813,"PRSS3","5646","protease, serine 3","Down"
-4.20808493256249,3.26296452331101,-15.706129367302,1.85714627925648e-31,6.19265426818073e-28,60.8459365606088,"DCTN1-AS1","100189589","DCTN1 antisense RNA 1","Down"
-9.81802308959519,3.81027122701817,-15.6031354272049,3.21772357213957e-31,9.19671364397091e-28,60.3074007150524,"GJB6","10804","gap junction protein beta 6","Down"
-6.05214880249381,4.60747061364485,-15.0336867465717,6.8622400110416e-30,1.71616044876137e-26,57.3077444646038,"PHF24","23349","PHD finger protein 24","Down"
-6.06216603498927,2.84085460508302,-14.9385429367856,1.14808073351475e-29,2.55218347060329e-26,56.8030038569969,"SLC32A1","140679","solute carrier family 32 member 1","Down"
-4.23646685185795,4.26909628696722,-14.8994100256296,1.41912357763126e-29,2.83924054176685e-26,56.5951150272269,"GPR26","2849","G protein-coupled receptor 26","Down"
-4.25077026105022,3.38407574516846,-14.8329295079528,2.03494267398184e-29,3.70119073439588e-26,56.2415642848147,"CNNM1","26507","cyclin and CBS domain divalent metal cation transport mediator 1","Down"
-3.95416492858627,3.38418863337799,-14.6578232839668,5.26971407318891e-29,8.78593078852422e-26,55.3080623488687,"SDR16C5","195814","short chain dehydrogenase/reductase family 16C, member 5","Down"
-7.15576479635562,4.75255237209763,-14.3771187533758,2.43776394433645e-28,3.75171871033379e-25,53.8049189444825,"SULT4A1","25830","sulfotransferase family 4A member 1","Down"
-4.69025404920123,3.9305641331874,-14.2361284379228,5.27658270416133e-28,7.54061358301112e-25,53.0469165839136,"SPTB","6710","spectrin beta, erythrocytic","Down"
