"Sample","PC1","PC2","Group","TumorStatus"
"GSM1214834",-31.3751536696171,2.22575572566277,"EPN","Tumor"
"GSM1214835",-10.9439099104151,12.7738483236423,"EPN","Tumor"
"GSM1214836",-21.7009291658456,-3.9436964914449,"EPN","Tumor"
"GSM1214837",-19.075952656982,9.34165850945129,"EPN","Tumor"
"GSM1214838",-22.0970753309942,7.27458413521022,"EPN","Tumor"
"GSM1214839",-29.6213164724741,6.77409547246246,"EPN","Tumor"
"GSM1214840",-27.8465961754789,3.47398140023857,"EPN","Tumor"
"GSM1214841",-32.6307547676471,6.23767063054431,"EPN","Tumor"
"GSM1214842",-28.671615609318,-7.99919523847067,"EPN","Tumor"
"GSM1214843",-31.8752736647429,-0.496045349332892,"EPN","Tumor"
"GSM1214844",-27.013018688131,-11.0739441537012,"EPN","Tumor"
"GSM1214845",-16.4135552336148,9.06438494578948,"EPN","Tumor"
"GSM1214846",-27.8085121133216,11.938663123863,"EPN","Tumor"
"GSM1214847",1.48440310190718,18.1090079185026,"EPN","Tumor"
"GSM1214848",-31.8160438842481,3.75923994306118,"EPN","Tumor"
"GSM1214849",-27.8747808143815,14.0355942132861,"EPN","Tumor"
"GSM1214850",-23.40387202865,5.31926963200897,"EPN","Tumor"
"GSM1214851",-24.1893565813789,-8.16238470389341,"EPN","Tumor"
"GSM1214852",-28.8339087298583,7.96597743500185,"EPN","Tumor"
"GSM1214853",-30.8839637697035,4.73108605130248,"EPN","Tumor"
"GSM1214854",-29.2097242334926,-1.57364375830562,"EPN","Tumor"
"GSM1214855",-25.086113437467,16.474789493118,"EPN","Tumor"
"GSM1214856",-19.2931061420834,7.54130331234755,"EPN","Tumor"
"GSM1214857",-35.2699560761345,6.85390508867972,"EPN","Tumor"
"GSM1214858",-32.2416442200684,-3.75005550165976,"EPN","Tumor"
"GSM1214859",-34.0369667464851,-1.55952441428035,"EPN","Tumor"
"GSM1214860",-30.427415941756,2.89716668892619,"EPN","Tumor"
"GSM1214861",-31.2405444768635,9.52605589963338,"EPN","Tumor"
"GSM1214862",-29.3094490232465,-7.58693718674014,"EPN","Tumor"
"GSM1214863",-25.8526063121715,6.97647341256335,"EPN","Tumor"
"GSM1214864",-34.5545865241286,-0.436809553891127,"EPN","Tumor"
"GSM1214865",-18.1744265723055,14.5801914470807,"EPN","Tumor"
"GSM1214866",-33.2269555938546,3.68213777465993,"EPN","Tumor"
"GSM1214867",-35.0373936412129,7.95115581447269,"EPN","Tumor"
"GSM1214868",-26.6256354683676,2.29827982543361,"EPN","Tumor"
"GSM1214869",-29.4871805459296,3.76577711229727,"EPN","Tumor"
"GSM1214870",2.74445528022812,-1.86429300708617,"EPN","Tumor"
"GSM1214871",-25.516039849105,-0.258028194942504,"EPN","Tumor"
"GSM1214872",-23.6637470118337,-1.21136389820158,"EPN","Tumor"
"GSM1214873",-32.0808022406176,-6.58136404112717,"EPN","Tumor"
"GSM1214874",-6.02080413094197,11.4911980786549,"EPN","Tumor"
"GSM1214875",-29.3366282572782,-2.57043869496784,"EPN","Tumor"
"GSM1214876",14.4160388428259,-20.8040612319063,"EPN","Tumor"
"GSM1214877",-19.4689481940815,9.6198721945273,"EPN","Tumor"
"GSM1214878",-32.6887925946625,2.80474331674758,"EPN","Tumor"
"GSM1214879",-31.057479773729,-7.26252732321312,"EPN","Tumor"
"GSM1214880",-3.2876480200494,-2.57446107566716,"GBM","Tumor"
"GSM1214881",21.4755915547127,-0.956510284284486,"GBM","Tumor"
"GSM1214882",9.21122045328611,-6.74883699429757,"GBM","Tumor"
"GSM1214883",0.936776016321165,-11.5240354788844,"GBM","Tumor"
"GSM1214884",10.1451853100022,-15.8603495262483,"GBM","Tumor"
"GSM1214885",-3.47233314533371,-2.59722101784139,"GBM","Tumor"
"GSM1214886",11.765620561088,-17.4109542436277,"GBM","Tumor"
"GSM1214887",-1.08501725545972,0.554595249403728,"GBM","Tumor"
"GSM1214888",3.59005592483751,15.715006758944,"GBM","Tumor"
"GSM1214889",6.75593563740001,8.60957591744538,"GBM","Tumor"
"GSM1214890",10.0363466950203,-15.8606638262792,"GBM","Tumor"
"GSM1214891",17.5925482653357,-1.42820618101019,"GBM","Tumor"
"GSM1214892",15.3440727265077,-5.92996623070443,"GBM","Tumor"
"GSM1214893",17.0515681354032,-2.10599671566474,"GBM","Tumor"
"GSM1214894",7.84940257993113,15.0072015690308,"GBM","Tumor"
"GSM1214895",-4.16089966246672,2.59686541335718,"GBM","Tumor"
"GSM1214896",11.4444166839849,-1.68278375948896,"GBM","Tumor"
"GSM1214897",-3.26389486962267,9.83014052891208,"GBM","Tumor"
"GSM1214898",13.1476642453532,-3.64840316199841,"GBM","Tumor"
"GSM1214899",20.0402688140621,-7.93645251423427,"GBM","Tumor"
"GSM1214900",11.5272214610479,-9.99027805848943,"GBM","Tumor"
"GSM1214901",-1.58040204656328,-19.0369367059671,"GBM","Tumor"
"GSM1214902",11.2428342179847,2.43716645047931,"GBM","Tumor"
"GSM1214903",4.90682912589557,-7.10994637722463,"GBM","Tumor"
"GSM1214904",-4.16609395106418,-5.59278625005426,"GBM","Tumor"
"GSM1214905",-0.735837767695445,5.55658058038982,"GBM","Tumor"
"GSM1214906",-0.825670013996856,-5.49554050732468,"GBM","Tumor"
"GSM1214907",-1.82526223649255,-8.77622047565895,"GBM","Tumor"
"GSM1214908",24.8754757379482,-21.4594169167137,"GBM","Tumor"
"GSM1214909",12.1128077990751,-18.6527522295537,"GBM","Tumor"
"GSM1214910",-8.10186137745787,-8.51929307332576,"GBM","Tumor"
"GSM1214911",-11.0966205501518,-5.3591216768529,"GBM","Tumor"
"GSM1214912",-0.11313281844443,-9.09223786961906,"GBM","Tumor"
"GSM1214913",-0.72563273871061,-10.475177323862,"GBM","Tumor"
"GSM1214914",23.0747483215344,31.1364535949845,"MED","Tumor"
"GSM1214915",28.5123024438042,29.1146342905693,"MED","Tumor"
"GSM1214916",31.8171125683888,27.700810233449,"MED","Tumor"
"GSM1214917",17.8955655313496,31.250545694281,"MED","Tumor"
"GSM1214918",28.1117708544542,24.7006137675222,"MED","Tumor"
"GSM1214919",16.1907343897823,26.3638390592327,"MED","Tumor"
"GSM1214920",20.05805212933,28.5537730275858,"MED","Tumor"
"GSM1214921",30.5747955231813,32.3533898244444,"MED","Tumor"
"GSM1214922",25.6548579578933,25.039674534994,"MED","Tumor"
"GSM1214923",2.49084860822767,12.586505990864,"MED","Tumor"
"GSM1214924",23.1411592483712,27.2066868183488,"MED","Tumor"
"GSM1214925",17.7005999024869,28.3909060377546,"MED","Tumor"
"GSM1214926",27.6092426187287,28.2744161882951,"MED","Tumor"
"GSM1214927",18.9423240778578,20.9031559242496,"MED","Tumor"
"GSM1214928",26.8150700074335,29.2962416111182,"MED","Tumor"
"GSM1214929",23.8391052784037,31.2394843115468,"MED","Tumor"
"GSM1214930",21.6483328083122,27.5982811790197,"MED","Tumor"
"GSM1214931",22.1989597456216,28.7582597771075,"MED","Tumor"
"GSM1214932",16.7742774505016,25.8837440776223,"MED","Tumor"
"GSM1214933",20.8895351252493,27.7084084389854,"MED","Tumor"
"GSM1214934",26.7780899321343,24.0536269206512,"MED","Tumor"
"GSM1214935",15.1596827968442,9.34638636009061,"MED","Tumor"
"GSM1214936",27.3707325352057,-4.38539307367681,"Normal","Normal"
"GSM1214937",33.122269738489,-14.2960624638534,"Normal","Normal"
"GSM1214938",12.4476963780683,-20.0705738747953,"Normal","Normal"
"GSM1214939",19.4347000794238,-15.7134937441526,"Normal","Normal"
"GSM1214940",31.3949973141064,-17.3030494037109,"Normal","Normal"
"GSM1214941",31.2692593895404,-16.1639112570111,"Normal","Normal"
"GSM1214942",32.0878908276398,-15.6198510958398,"Normal","Normal"
"GSM1214943",22.0342540954103,-18.1508477177769,"Normal","Normal"
"GSM1214944",24.1480171253394,-8.68506259528829,"Normal","Normal"
"GSM1214945",28.3712203136641,-19.1983016992384,"Normal","Normal"
"GSM1214946",29.6444979514347,-18.6142047803365,"Normal","Normal"
"GSM1214947",30.5771721705282,-18.7779946503685,"Normal","Normal"
"GSM1214948",31.1616447653424,-17.903279481701,"Normal","Normal"
"GSM1214949",12.2846259756451,-21.9961972730664,"PA","Tumor"
"GSM1214950",-0.551118770834499,-27.3556769326755,"PA","Tumor"
"GSM1214951",11.2716217760196,-25.8413044614882,"PA","Tumor"
"GSM1214952",3.93457641704934,-25.2330738514028,"PA","Tumor"
"GSM1214953",10.1009217977896,-24.3652272988938,"PA","Tumor"
"GSM1214954",7.92607126788786,-28.6917723497455,"PA","Tumor"
"GSM1214955",5.49324444415574,-22.0836637300522,"PA","Tumor"
"GSM1214956",7.18691054413444,-24.405841270473,"PA","Tumor"
"GSM1214957",11.1233650326033,-24.9456452870376,"PA","Tumor"
"GSM1214958",8.10876470318844,-24.7468370341589,"PA","Tumor"
"GSM1214959",4.40099560861432,-13.6823903467707,"PA","Tumor"
"GSM1214960",-1.07267333192778,-9.4871519599744,"PA","Tumor"
"GSM1214961",8.59558112982298,-27.3677652850855,"PA","Tumor"
"GSM1214962",10.8758737782784,-27.8020863020922,"PA","Tumor"
"GSM1214963",9.10582318146017,-21.4093166111405,"PA","Tumor"
