"FeatureName","Class","Coefficient","GeneSymbol"
"EFCAB1","EPN",0.373781793942279,"EFCAB1"
"TTYH1","MED",-0.255111148099529,"TTYH1"
"COL8A1","PA",0.25180222958196,"COL8A1"
"GJB6","Normal",0.221565678977505,"GJB6"
"COL20A1","PA",0.21444269477469,"COL20A1"
"SOX2.OT","GBM",0.210397942772276,"SOX2-OT"
"EGR4","Normal",0.197404984468012,"EGR4"
"TNFRSF11B","EPN",0.194283280832398,"TNFRSF11B"
"EBF3","MED",0.181161593432751,"EBF3"
"TNFAIP6","GBM",0.180324566003245,"TNFAIP6"
"ONECUT2","MED",0.165949266627262,"ONECUT2"
"BARHL1","MED",0.155731393135947,"BARHL1"
"SEL1L2","GBM",0.145401320711701,"SEL1L2"
"LINC01296","GBM",0.144306101140455,"LINC01296"
"FOXG1","GBM",0.142011243328946,"FOXG1"
"MELK","GBM",0.136716806260915,"MELK"
"PLA2G2A","PA",0.130952804032086,"PLA2G2A"
"PVALB","Normal",0.127446353787559,"PVALB"
"RSPH9","EPN",0.0957867745442236,"RSPH9"
"RNF128","PA",0.09231648652616,"RNF128"
"COL15A1","PA",0.0863463836734339,"COL15A1"
"CCL3L3","Normal",-0.0777915333161192,"CCL3L3"
"USP9Y","GBM",-0.0750487801471722,"USP9Y"
"CDC20","PA",-0.0691925944267386,"CDC20"
"KIF14","GBM",0.0685910051853284,"KIF14"
"UNC5C","GBM",-0.0596065790244497,"UNC5C"
"LOC645321","GBM",0.0559878889092744,"LOC645321"
"INS.IGF2","GBM",-0.0533081373122557,"INS-IGF2"
"CA12","GBM",0.0532633955987432,"CA12"
"NRSN1","EPN",-0.046255756064047,"NRSN1"
"CAB39L","GBM",-0.0384018749635661,"CAB39L"
"NACC2","MED",-0.0373714697939911,"NACC2"
"SST","Normal",0.0355158914866233,"SST"
"UNC5D","EPN",-0.032196873362383,"UNC5D"
"INS.IGF2","EPN",0.0292507775042634,"INS-IGF2"
"LINC00673","GBM",0.0279405972126372,"LINC00673"
"SV2C","GBM",-0.027504411324573,"SV2C"
"SLIT2","GBM",-0.0261510478754475,"SLIT2"
"GDF10","GBM",-0.0210170356918884,"GDF10"
"CA14","GBM",0.0193621707884383,"CA14"
"CCL3L3","PA",0.0160634163968545,"CCL3L3"
"ADCYAP1","GBM",-0.0142391527691515,"ADCYAP1"
"CACNA1G","GBM",-0.0136498360015599,"CACNA1G"
"INSM2","MED",0.0122708785490467,"INSM2"
"IL13RA2","GBM",0.0113424692793771,"IL13RA2"
"LPAR3","EPN",0.0108520466593611,"LPAR3"
"SOX2.OT","MED",-0.00970610991302214,"SOX2-OT"
"EPHA5","PA",0.00628331927140961,"EPHA5"
"GFRA1","PA",0.00251931435675127,"GFRA1"
"PTX3","GBM",0.00250489090651844,"PTX3"
"SHISA9","PA",0.000784355586850508,"SHISA9"
