"FeatureName","Class","Coefficient","GeneSymbol"
"TNFAIP6","GBM",0.00480844092803165,"TNFAIP6"
"SLIT2","GBM",-0.00412620304120922,"SLIT2"
"ONECUT2","MED",0.00407984814343004,"ONECUT2"
"CA12","GBM",0.00397123474461084,"CA12"
"CAB39L","GBM",-0.00396580052252107,"CAB39L"
"SEL1L2","GBM",0.00392186165386025,"SEL1L2"
"KIF14","GBM",0.00386781643059787,"KIF14"
"NACC2","MED",-0.003831681147687,"NACC2"
"MELK","GBM",0.00372936564706752,"MELK"
"EGR4","Normal",0.0037224179545057,"EGR4"
"SOX2.OT","MED",-0.00362844872956889,"SOX2-OT"
"LINC01296","GBM",0.00361811022490646,"LINC01296"
"CA14","GBM",0.00357460236199465,"CA14"
"KIF4A","GBM",0.00356514497192403,"KIF4A"
"SCN7A","PA",0.00355003415878028,"SCN7A"
"COL15A1","PA",0.00354555679774498,"COL15A1"
"SOX2.OT","GBM",0.00351846282358672,"SOX2-OT"
"PLA2G2A","PA",0.00350784085787753,"PLA2G2A"
"PLEKHB1","MED",-0.00347898741977277,"PLEKHB1"
"EBF3","MED",0.00347680827131151,"EBF3"
"KIF15","GBM",0.00347318834579075,"KIF15"
"SNAP91","GBM",-0.00345328922619351,"SNAP91"
"LOC645321","GBM",0.0034527667382996,"LOC645321"
"TTYH1","MED",-0.00345223373441978,"TTYH1"
"VASH2","MED",0.00343864186300815,"VASH2"
"COL8A1","PA",0.00341113927641442,"COL8A1"
"FAM64A","GBM",0.0033993642805863,"FAM64A"
"AKR1C1","GBM",-0.00339536591720893,"AKR1C1"
"AIM1","PA",0.00338187622154104,"AIM1"
"SHISA9","PA",0.00336356173422769,"SHISA9"
"RSPH9","EPN",0.00336266063677849,"RSPH9"
"FOXM1","GBM",0.00333897390451171,"FOXM1"
"SALL1","MED",-0.00331507381391389,"SALL1"
"FIGN","MED",-0.00331293977141837,"FIGN"
"LINC01116","GBM",0.00331155975124785,"LINC01116"
"ARAP2","MED",-0.00330726528946448,"ARAP2"
"NRGN","GBM",0.00327683940733852,"NRGN"
"DOK6","GBM",-0.00325764477835219,"DOK6"
"SLIT2","EPN",0.00325136415998575,"SLIT2"
"PLCXD3","GBM",-0.00325088887127653,"PLCXD3"
"COL20A1","PA",0.00323072064374327,"COL20A1"
"DTL","GBM",0.00322581374382725,"DTL"
"CENPU","GBM",0.00322575116705734,"CENPU"
"CBLN1","MED",0.00322449544454514,"CBLN1"
"CACNA1G","GBM",-0.00321414740474748,"CACNA1G"
"BUB1B","GBM",0.00321298626129396,"BUB1B"
"UNC5C","GBM",-0.00319790782575355,"UNC5C"
"BARHL1","MED",0.00318774239128466,"BARHL1"
"PVALB","Normal",0.00318539462953207,"PVALB"
"PSD2","GBM",-0.00318536438243196,"PSD2"
"HEPN1","MED",-0.00318443785386265,"HEPN1"
"EGFR","GBM",0.00316983912276388,"EGFR"
"SALL1","GBM",0.0031623881538358,"SALL1"
"EBF1","MED",0.00315759615663602,"EBF1"
"GSTT2","GBM",0.00313575836447209,"GSTT2"
"CABP7","GBM",-0.00311465905052717,"CABP7"
"SSTR2","MED",0.00311407905637823,"SSTR2"
"BUB1","GBM",0.00310486905856028,"BUB1"
"SEMA3E","PA",0.00310369163830609,"SEMA3E"
"INSM2","MED",0.00309995938184705,"INSM2"
