"","Normal","EPN","GBM","MED","PA"
"1","OLFML2A","KCNQ5","WDR63","CMTM5","CCDC40"
"2","TTC30B","KCNIP1","FSTL5","QKI","INSM1"
"3","RNASEH2A","PCDH11Y","NEUROD2","RAB29","GINS2"
"4","CXCL8","BRINP3","ZBBX","SALL3","CFAP45"
"5","SRPX2","PTPN5","RSPH4A","NES","CENPF"
"6","PARP9","RIMS2","ST8SIA2","PLPP3","KCNN2"
"7","CDK2","NEFM","SLC27A6","DAW1","C11orf88"
"8","OIP5","IGSF21","ZNF474","SLC7A2","AKAP14"
"9","CDC20","DIRAS2","DRC1","FCGR1B","FBXO15"
"10","LAMA1","LRRC4C","CASC1","CFI","KIAA0319"
"11","CFAP126","CXCL14","DNAH12","TNFRSF11B","TRIP13"
"12","HMMR","ELMO1","BHLHE22","MAOB","C11orf63"
"13","PLP2","SHD","DNAAF3","HSPB8","RMST"
"14","TMEM67","SVOP","MAL2","GPR37L1","GABRG1"
"15","CCL3L3","GRIK3","KIAA0319","FAM69C","CDH22"
"16","TP53","TF","FAM179A","CFAP52","RELN"
"17","TGIF1","BLM","PLAC9","SCRG1","UNC13C"
"18","BUB1","SH3GL2","CUX2","MORN5","DEPDC1B"
"19","FLNC","ETV1","TMEM232","ACSS3","EGFR"
"20","SERPINE1","GRIA2","EXOSC7","MRO","BRIP1"
"21","B3GNT5","BHLHE22","KCNJ3","COBL","MORN5"
"22","FOXJ1","CAMK4","CALB1","NPAS3","KIF2C"
"23","CEP55","DLGAP1","RBFOX3","COL9A3","MIR548F5"
"24","PSMB8","SULT4A1","LOC100996843","RAB31","CDC20"
"25","FZD6","SHOX2","TTC29","CXCL5","LOC101930373"
"26","DSG2","LOC101927137","WDR38","SAMD9L","KLHL29"
"27","KIF2C","C2orf80","PLCH1","ENKUR","RBFOX3"
"28","CHEK1","AP3B2","CCDC170","WWC1","PACSIN1"
"29","ELN","MIR124-1","DCDC2","MX1","SYNPR"
"30","C4orf47","FGF14","GRIN2C","FPR1","NNAT"
"31","TGFBI","MAP7D2","CFAP43","SLC15A2","FSTL5"
"32","COL6A2","ADRB1","PLCXD3","GPR17","INA"
"33","KIF18B","SLC17A6","CDH18","C4B_2","CASC1"
"34","C7orf57","TMEM130","ZNF423","MLIP","LPAR3"
"35","CTHRC1","SLC35F3","KCNA5","KNDC1","TEKT1"
