"","Normal","EPN","GBM","MED","PA"
"1","GJB6","EFCAB1","BCHE","INSM1","COL20A1"
"2","SLC12A5","CFAP126","NKX2-2","INA","SOX10"
"3","PACSIN1","EFHC2","TMEM45A","ELAVL2","ERBB3"
"4","SYNPR","FAM81B","PMP2","IGFBPL1","GPR17"
"5","VSNL1","C11orf70","ETV1","ONECUT2","GFRA1"
"6","GABRG2","DAW1","SALL3","MEX3B","SLC24A2"
"7","SV2B","ARMC3","LINC00673","BHLHE22","SORCS1"
"8","UNC13C","RSPH1","SOX2-OT","SSTR2","LHFPL3"
"9","NEFM","CAPSL","BCAT1","CBLN1","OLIG2"
"10","JPH3","DYNLRB2","LHFPL3","VASH2","BCHE"
"11","RAB3C","MAP3K19","TIMP4","TMSB15B","PLLP"
"12","MYT1L","CASC1","TRIM14","EBF3","SRPX"
"13","SYN2","FOXJ1","PCOLCE2","CACNA1B","LINC00839"
"14","KCNJ9","SPATA17","SRPX","AFDN-AS1","LRRC4C"
"15","SCN2B","TCTEX1D1","RRM2","NEUROD1","PDGFRA"
"16","CELF4","CFAP52","PLAT","OTX2","SLC8A3"
"17","SYT1","RMST","OLIG2","MIR548F5","KLRC3"
"18","ETNPPL","MSX1","TNFAIP6","PHF21B","POSTN"
"19","SCN2A","PIFO","TMEM100","ACTL6B","C1QL1"
"20","INA","SPAG6","LOC645321","ZNF536","LOC101927057"
"21","SPHKAP","C7orf57","PBK","RELN","SORCS3"
"22","HPCAL4","CFAP43","DTL","BRIP1","SOX8"
"23","RIMS1","VWA3B","GAD1","GABRB3","SEMA5A"
"24","GRM3","INS-IGF2","IGF2BP3","VSTM2A","PLPP4"
"25","SVOP","C4orf47","MELK","LPAR2","MEGF11"
"26","CALN1","LRP2BP","LOC401317","ST18","SHISA9"
"27","IPCEF1","BAIAP3","LOC101930489","TOP2A","TF"
"28","SYT13","CFAP70","SALL1","DACH1","OLIG1"
"29","SYNGR3","TEKT1","NES","STMN2","VAT1L"
"30","RPH3A","NEK11","SHCBP1","NKAIN1","TMEM132B"
"31","TMEM130","RNF43","GAP43","MAML3","C2orf80"
"32","CDH18","CFAP45","BLM","SV2B","CMTM5"
"33","SYN1","TPPP3","SEMA5A","MYT1L","APOD"
"34","DLG2","MORN5","OLIG1","KIF2C","PMP2"
"35","RGS7BP","C9orf24","LIMA1","CBFA2T3","UGT8"
"36","GABRB1","C5orf49","DSEL","CELF4","NTNG1"
"37","SPOCK3","DRC1","ANLN","CDK6","TMEM100"
"38","CALB1","NUP62CL","TOP2A","EZH2","PLAT"
"39","LOC285147","C1orf158","NT5E","CCNB2","NKX2-2"
"40","CACNA1B","ENKUR","IL13RA2","CENPF","SLC1A1"
"41","DIRAS2","C1orf194","TMEM255A","SYT4","CSPG4"
"42","SULT4A1","CRLF1","KIAA0226L","CHGA","MCHR1"
"43","LOC101930363","CCDC146","RAB31","CHGB","SCN7A"
"44","CAMK4","ZBBX","CHST11","KIAA0101","BCAS1"
"45","STMN2","CELSR1","SCRG1","KNL1","PTPRE"
"46","CALY","C8orf34","TFPI","DCC","STK32B"
"47","PVALB","ZMYND12","IFI16","SRRM4","AIM1"
"48","PCLO","DNAH5","CHI3L1","GPC2","DAB1"
"49","ANKRD34C","LY6H","PCDH17","SHF","HS3ST1"
"50","ATP8A2","MAATS1","CENPU","EBF1","BLM"
"51","GAD2","SELENBP1","CENPK","KCNB2","NR0B1"
"52","CPLX1","LOC101928882","SHC3","NUF2","GRIA3"
"53","RBFOX1","TNFRSF11B","THBS2","RFPL1S","ABCC3"
"54","GABRB2","ODF3B","ASPM","BIRC5","SCRG1"
"55","TUBB4A","C11orf63","KIAA0101","TTK","GRIA2"
"56","CKMT1A","LOC101930373","KIF14","AFDN","SHC3"
"57","SLC24A2","TEX9","AURKA","CCSER1","CREB3L1"
"58","FXYD7","WDR78","ADORA1","CD24","ACAN"
"59","CYP4X1","GMPR","SAMD9","DLGAP5","MDGA2"
"60","NEFL","ZNF474","HRH1","SOX11","NT5E"
"61","SRCIN1","COL6A2","NDE1","ASPM","SCN1A"
"62","PEX5L","ZMYND10","GRIK3","INSM2","SHC4"
"63","RBFOX3","FANK1","CCNB2","BARHL1","SNX22"
"64","RUNDC3A","RFX4","RAB27B","MURC","TMEM229B"
"65","ANKRD34A","HOGA1","STK17A","EPB41","ME1"
"66","RIMS3","SPAG17","IGFBP2","SPAG5","SCG5"
"67","MAP7D2","ZIC2","CAPG","CDC20","CFI"
"68","KRT222","SPAG1","GIMAP2","DTL","ASCL1"
"69","SNCB","C11orf88","SCG5","LMNB1","KCNJ16"
"70","PTPRR","DNAH7","UBE2C","MFAP2","B3GNT7"
"71","CPLX2","SYNC","BUB1B","ZNF300","C1orf106"
"72","RGS7","C6orf118","SOX8","MRLN","COL11A1"
"73","RALYL","TEX26","ARAP3","UBE2C","OPCML"
