"Group","GeneSymbol","Frequency"
"Normal","RRM2",13
"Normal","TOP2A",13
"Normal","ASPM",12
"Normal","KIAA0101",12
"Normal","PBK",12
"Normal","C11orf70",11
"Normal","CDK1",11
"Normal","CFI",11
"Normal","KIF4A",11
"Normal","MELK",11
"Normal","MFAP2",11
"Normal","UHRF1",11
"Normal","BIRC5",10
"Normal","CCNB2",10
"Normal","CDCA7",10
"Normal","CENPF",10
"Normal","EZH2",10
"Normal","LOX",10
"Normal","TMSB15B",10
"Normal","UBE2C",10
"Normal","WEE1",10
"Normal","DTL",9
"Normal","LOC728613",9
"Normal","MCM2",9
"Normal","NDC80",9
"Normal","CENPU",8
"Normal","COL6A2",8
"Normal","CRNDE",8
"Normal","IRX1",8
"Normal","NTN1",8
"Normal","NUSAP1",8
"Normal","PAX3",8
"Normal","PIRT",8
"Normal","STON1",8
"Normal","XIST",8
"Normal","BUB1B",7
"Normal","CPXM1",7
"Normal","ECM2",7
"Normal","F2R",7
"Normal","FAM60A",7
"Normal","GPX7",7
"Normal","IRX3",7
"Normal","KIF11",7
"Normal","NT5DC2",7
"Normal","POSTN",7
"Normal","TNFRSF19",7
"Normal","CCL2",6
"Normal","CDK2",6
"Normal","DSG2",6
"Normal","ELN",6
"Normal","HLA-DMA",6
"Normal","IQGAP2",6
"Normal","LOC100509457",6
"Normal","NID2",6
"Normal","PLP2",6
"Normal","PTX3",6
"Normal","STEAP3",6
"Normal","TGIF1",6
"Normal","TIMP4",6
"Normal","TNFAIP3",6
"Normal","TSPAN11",6
"Normal","TYMS",6
"Normal","VANGL2",6
"Normal","C1orf226",5
"Normal","CCL3L3",5
"Normal","CHI3L2",5
"Normal","CTHRC1",5
"Normal","EMP3",5
"Normal","FBN2",5
"Normal","FCGBP",5
"Normal","FZD6",5
"Normal","LOC100509445",5
"Normal","LYZ",5
"Normal","MCM5",5
"Normal","MDK",5
"Normal","MIR548F5",5
"Normal","PIFO",5
"Normal","SERPINA3",5
"Normal","SERPINH1",5
"Normal","SLC4A2",5
"Normal","TMEM45A",5
"Normal","TNC",5
"Normal","TP53",5
"Normal","ANGPT1",4
"Normal","AQP1",4
"Normal","CD93",4
"Normal","CFAP126",4
"Normal","COL3A1",4
"Normal","COL9A2",4
"Normal","CP",4
"Normal","E2F7",4
"Normal","FAS",4
"Normal","GBP3",4
"Normal","GEM",4
"Normal","HSPG2",4
"Normal","IGF2BP3",4
"Normal","INS-IGF2",4
"Normal","KLHDC8A",4
"Normal","LHX2",4
"Normal","MIR7110",4
"Normal","MS4A6A",4
"Normal","NEK2",4
"Normal","PARP9",4
"Normal","PSMB9",4
"Normal","RMST",4
"Normal","RNASEH2A",4
"Normal","TGFB1",4
"Normal","TGFB1I1",4
"Normal","WNT5A",4
"Normal","ANTXR2",3
"Normal","CD44",3
"Normal","CHST14",3
"Normal","COL1A1",3
"Normal","COL5A1",3
"Normal","COL6A3",3
"Normal","COX20",3
"Normal","DLGAP5",3
"Normal","DNALI1",3
"Normal","DRAXIN",3
"Normal","EIF5A",3
"Normal","FOXG1",3
"Normal","FREM2",3
"Normal","LMNB1",3
"Normal","LOC101928916",3
"Normal","LOXL1",3
"Normal","LOXL2",3
"Normal","METTL21B",3
"Normal","METTL7B",3
"Normal","MFAP4",3
"Normal","NECTIN2",3
"Normal","PROM1",3
"Normal","PXDN",3
"Normal","SCIN",3
"Normal","TLN1",3
