"Group","GeneSymbol","Frequency"
"Normal","PACSIN1",13
"Normal","SLC12A5",13
"Normal","SYNPR",13
"Normal","VSNL1",13
"Normal","GABRG2",12
"Normal","GJB6",12
"Normal","ETNPPL",11
"Normal","GABRA1",11
"Normal","RAB3C",11
"Normal","SV2B",11
"Normal","UNC13C",11
"Normal","HPCAL4",10
"Normal","JPH3",10
"Normal","KCNJ9",10
"Normal","MYT1L",10
"Normal","NEFM",10
"Normal","RBFOX3",10
"Normal","SST",10
"Normal","AK5",9
"Normal","CAMK2A",9
"Normal","CCK",9
"Normal","CELF4",9
"Normal","CRYM",9
"Normal","ERMN",9
"Normal","GABRA4",9
"Normal","GABRB2",9
"Normal","RPH3A",9
"Normal","SVOP",9
"Normal","SYN2",9
"Normal","ANO3",8
"Normal","CDH18",8
"Normal","CNDP1",8
"Normal","CRH",8
"Normal","DDN",8
"Normal","DLGAP2",8
"Normal","FAM19A1",8
"Normal","FXYD7",8
"Normal","GDA",8
"Normal","HTR2A",8
"Normal","IPCEF1",8
"Normal","ITPKA",8
"Normal","KCNJ4",8
"Normal","NRGN",8
"Normal","NWD2",8
"Normal","PEX5L",8
"Normal","RGS4",8
"Normal","SCN2B",8
"Normal","SYT1",8
"Normal","TMEM155",8
"Normal","EGR4",7
"Normal","KCNV1",7
"Normal","LINC00507",7
"Normal","MOBP",7
"Normal","PHF24",7
"Normal","PVALB",7
"Normal","RGS7BP",7
"Normal","RIMS1",7
"Normal","SCN3B",7
"Normal","SERTM1",7
"Normal","SULT4A1",7
"Normal","TAC1",7
"Normal","ARX",6
"Normal","CACNG3",6
"Normal","CAMK4",6
"Normal","CHD5",6
"Normal","GRM3",6
"Normal","HS6ST3",6
"Normal","NPY",6
"Normal","PDE1A",6
"Normal","RYR2",6
"Normal","SCN2A",6
"Normal","SLC17A6",6
"Normal","SLC17A7",6
"Normal","SNCB",6
"Normal","SPHKAP",6
"Normal","STX1A",6
"Normal","SYT13",6
"Normal","TUBB4A",6
"Normal","VSTM2A",6
"Normal","ADCYAP1",5
"Normal","CBLN2",5
"Normal","CDH12",5
"Normal","CPLX2",5
"Normal","CREG2",5
"Normal","FRMPD4",5
"Normal","HS3ST4",5
"Normal","INA",5
"Normal","LINC00889",5
"Normal","LOC101930363",5
"Normal","MAL",5
"Normal","NEFL",5
"Normal","NPAS4",5
"Normal","OPALIN",5
"Normal","PCDH11Y",5
"Normal","PCLO",5
"Normal","RASGRF2",5
"Normal","SLC32A1",5
"Normal","SLC8A2",5
"Normal","SYN1",5
"Normal","TRPM3",5
"Normal","ANKRD34C",4
"Normal","BSN",4
"Normal","CALB1",4
"Normal","CLEC2L",4
"Normal","GABRA5",4
"Normal","KCNA1",4
"Normal","LDB3",4
"Normal","LGI3",4
"Normal","LINC01123",4
"Normal","LOC101930006",4
"Normal","MAL2",4
"Normal","MEG3",4
"Normal","MFSD4A",4
"Normal","PTPN5",4
"Normal","RAB27B",4
"Normal","SLC26A4-AS1",4
"Normal","STX1B",4
"Normal","TRHDE",4
"Normal","ADRB1",3
"Normal","CABP1",3
"Normal","CALN1",3
"Normal","CALY",3
"Normal","CARNS1",3
"Normal","CHRM1",3
"Normal","CNTN2",3
"Normal","CPLX1",3
"Normal","DIRAS2",3
"Normal","DLX1",3
"Normal","FREM3",3
