"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-112316","Neuronal System","189/2535","408/11230",0.463235294117647,2.05212321615037,11.6887387006429,3.36639301917143e-27,5.55454848163286e-24,4.84760594760686e-24,"GLS2/SLC32A1/CAMK2A/GABRA4/KCNAB2/GAD2/CACNG3/KCNH3/DLG2/KCNJ9/PPFIA3/KCNV1/SYN2/SHANK1/PANX2/GABRA1/AKAP5/NEFL/DLG4/GABRB2/GNAI3/SYT12/KCNC4/PRKCG/RIMS1/RAB3A/CAMKK2/GRIN1/SHANK3/SYN1/KCNN1/STX1A/DNAJC5/RASGRF2/CAMK2B/STXBP1/CAMK4/GNB5/CACNB4/CALM3/SYT2/NRGN/KCNQ3/CPLX1/KCNJ6/GABRA2/HCN2/NPTN/GABRG2/APBA1/NRXN3/LIN7B/TUBA4A/IL1RAPL1/CAMK2G/SYT1/KCNC3/SLC17A7/PRKACB/ADCY5/RTN3/EPB41L1/PPFIA4/TUBB4A/CACNA1B/CAMKK1/KCNA1/KCNK9/CACNG8/CACNA2D3/PRKCB/PICK1/CACNB3/GNG5/HOMER1/CACNB2/GABRB1/GABBR1/CACNG2/TUBB2A/BEGAIN/KCNG3/GRM5/KCNA2/SLITRK4/KCNAB1/CHRNA3/HCN1/PPFIA2/CAMK1/CACNA1E/SNAP25/DLG1/PLCB1/KCNJ3/SHANK2/ADCY1/GNG3/KCNB1/KCNK1/ARHGEF9/SLC1A6/NRG1/LRFN1/SLC1A2/SLC6A1/DLGAP1/GAD1/KCNC1/ABCC8/GRIN2C/DLG3/KCNQ2/CACNB1/GNG12/GNG7/KCNK3/KCNMB4/SLITRK1/TSPOAP1/GRIN2A/PPM1E/GLS/VAMP2/GRM1/GABRB3/KCNJ4/GABBR2/SLITRK5/LIN7A/PRKAR1B/GNG13/LRRTM1/NRXN2/NRXN1/PRKAA2/ACTN2/LRRTM2/TSPAN7/PTPRD/SIPA1L1/GLRB/KCNN2/KCNQ5/PRKAR2B/GABRA5/PRKX/ADCY9/APBA2/KCNK10/SLITRK3/SLC1A1/RPS6KA2/EPB41L3/GRIA4/TUBB6/GABRA6/GNAL/RPS6KA6/KCNQ4/KCNJ8/ALDH2/NLGN4Y/GRIK2/KCNS3/GRIA2/SLC6A11/NBEA/GNAI1/GRIA3/IL1RAP/CACNA2D1/CACNA2D2/KCND3/GRIA1/KCNF1/KCNJ16/ADCY8/KCNMB1/NCALD/ERBB4/ADCY2/KCNJ2/KCNMB2/PRKCA/MAOA/SYT9/ABAT/CACNG4",189
"R-HSA-112315","Transmission across Chemical Synapses","128/2535","271/11230",0.472324723247232,2.09238920791575,9.82881843404662,1.31023818788743e-19,1.08094650500713e-16,9.43371495278948e-17,"GLS2/SLC32A1/CAMK2A/GABRA4/GAD2/CACNG3/DLG2/KCNJ9/PPFIA3/SYN2/GABRA1/AKAP5/NEFL/DLG4/GABRB2/GNAI3/PRKCG/RIMS1/RAB3A/CAMKK2/GRIN1/SYN1/STX1A/DNAJC5/RASGRF2/CAMK2B/STXBP1/CAMK4/GNB5/CACNB4/CALM3/NRGN/CPLX1/KCNJ6/GABRA2/NPTN/GABRG2/APBA1/LIN7B/TUBA4A/CAMK2G/SYT1/SLC17A7/PRKACB/ADCY5/EPB41L1/PPFIA4/TUBB4A/CACNA1B/CAMKK1/CACNG8/CACNA2D3/PRKCB/PICK1/CACNB3/GNG5/CACNB2/GABRB1/GABBR1/CACNG2/TUBB2A/CHRNA3/PPFIA2/CAMK1/CACNA1E/SNAP25/DLG1/PLCB1/KCNJ3/ADCY1/GNG3/ARHGEF9/SLC1A6/NRG1/SLC1A2/SLC6A1/GAD1/GRIN2C/DLG3/CACNB1/GNG12/GNG7/TSPOAP1/GRIN2A/PPM1E/GLS/VAMP2/GABRB3/KCNJ4/GABBR2/LIN7A/PRKAR1B/GNG13/PRKAA2/ACTN2/TSPAN7/GLRB/PRKAR2B/GABRA5/PRKX/ADCY9/SLC1A1/RPS6KA2/GRIA4/TUBB6/GABRA6/GNAL/RPS6KA6/ALDH2/GRIK2/GRIA2/SLC6A11/NBEA/GNAI1/GRIA3/CACNA2D1/CACNA2D2/GRIA1/KCNJ16/ADCY8/NCALD/ERBB4/ADCY2/KCNJ2/PRKCA/MAOA/ABAT/CACNG4",128
"R-HSA-6794362","Protein-protein interactions at synapses","49/2535","83/11230",0.590361445783133,2.6152895606093,7.97508207940553,7.66638362238908e-13,4.21651099231399e-10,3.67986413874676e-10,"DLG2/PPFIA3/SHANK1/DLG4/SYT12/GRIN1/SHANK3/STX1A/STXBP1/SYT2/APBA1/NRXN3/LIN7B/IL1RAPL1/SYT1/RTN3/EPB41L1/PPFIA4/HOMER1/BEGAIN/GRM5/SLITRK4/PPFIA2/DLG1/SHANK2/LRFN1/DLGAP1/GRIN2C/DLG3/SLITRK1/GRIN2A/GRM1/SLITRK5/LIN7A/LRRTM1/NRXN2/NRXN1/LRRTM2/PTPRD/SIPA1L1/APBA2/SLITRK3/EPB41L3/GRIA4/NLGN4Y/GRIA3/IL1RAP/GRIA1/SYT9",49
"R-HSA-112314","Neurotransmitter receptors and postsynaptic signal transmission","90/2535","206/11230",0.436893203883495,1.93542827598093,7.31643015507787,9.26126440515077e-12,3.82027156712469e-09,3.33405518585428e-09,"CAMK2A/GABRA4/CACNG3/DLG2/KCNJ9/GABRA1/AKAP5/NEFL/DLG4/GABRB2/GNAI3/PRKCG/CAMKK2/GRIN1/RASGRF2/CAMK2B/CAMK4/GNB5/CALM3/NRGN/KCNJ6/GABRA2/NPTN/GABRG2/APBA1/LIN7B/TUBA4A/CAMK2G/PRKACB/ADCY5/EPB41L1/TUBB4A/CAMKK1/CACNG8/PRKCB/PICK1/GNG5/GABRB1/GABBR1/CACNG2/TUBB2A/CHRNA3/CAMK1/DLG1/PLCB1/KCNJ3/ADCY1/GNG3/ARHGEF9/NRG1/GRIN2C/DLG3/GNG12/GNG7/GRIN2A/PPM1E/GABRB3/KCNJ4/GABBR2/LIN7A/PRKAR1B/GNG13/PRKAA2/ACTN2/TSPAN7/GLRB/PRKAR2B/GABRA5/PRKX/ADCY9/RPS6KA2/GRIA4/TUBB6/GABRA6/GNAL/RPS6KA6/GRIK2/GRIA2/NBEA/GNAI1/GRIA3/GRIA1/KCNJ16/ADCY8/NCALD/ERBB4/ADCY2/KCNJ2/PRKCA/CACNG4",90
"R-HSA-5682910","LGI-ADAM interactions","14/2535","14/11230",1,4.42998027613412,6.93364128971278,8.67516460838971e-10,2.8628043207686e-07,2.49844740721624e-07,"LGI3/CACNG3/STX1B/ADAM11/DLG4/STX1A/CACNG8/ADAM22/CACNG2/LGI2/LGI4/ADAM23/LGI1/CACNG4",14
"R-HSA-6794361","Neurexins and neuroligins","33/2535","54/11230",0.611111111111111,2.70721016874863,6.78993163920293,1.228968609774e-09,3.37966367687849e-07,2.9495246634576e-07,"DLG2/SHANK1/DLG4/SYT12/GRIN1/SHANK3/STX1A/STXBP1/SYT2/APBA1/NRXN3/LIN7B/SYT1/EPB41L1/HOMER1/BEGAIN/GRM5/SHANK2/DLGAP1/GRIN2C/DLG3/GRIN2A/GRM1/LIN7A/LRRTM1/NRXN2/NRXN1/LRRTM2/SIPA1L1/APBA2/EPB41L3/NLGN4Y/SYT9",33
"R-HSA-112310","Neurotransmitter release cycle","31/2535","51/11230",0.607843137254902,2.6927331090227,6.54179346201881,4.71570810726919e-09,1.11155976814202e-06,9.70088524923947e-07,"GLS2/SLC32A1/GAD2/PPFIA3/SYN2/RIMS1/RAB3A/SYN1/STX1A/DNAJC5/STXBP1/CPLX1/APBA1/LIN7B/SYT1/SLC17A7/PPFIA4/PPFIA2/SNAP25/SLC1A6/SLC1A2/SLC6A1/GAD1/TSPOAP1/GLS/VAMP2/LIN7A/SLC1A1/SLC6A11/MAOA/ABAT",31
"R-HSA-9013149","RAC1 GTPase cycle","76/2535","185/11230",0.410810810810811,1.81988378911456,6.07127679539839,1.09053142734525e-08,2.24922106889957e-06,1.96295656922145e-06,"ARHGAP44/PAK1/RASGRF2/PAK6/ITGB1/CHN1/GNA13/LBR/IQGAP2/CDC42BPA/CYFIP2/PARD6A/ARHGAP17/TIAM2/ARHGAP26/DOCK3/PAK2/DOCK9/ARHGAP42/VANGL1/PKN2/MCF2/MPP7/ARHGAP32/IQGAP1/PAK3/CHN2/MCF2L/ARHGEF25/TMPO/BAIAP2/ARHGAP23/WIPF3/NOXA1/PAK5/ARHGAP12/WASF2/WASF1/TIAM1/WASF3/SPATA13/ARHGAP20/DOCK7/MYO9B/SWAP70/SRGAP3/JAG1/DOCK4/FMNL1/CYBA/PLEKHG4/CDC42/KALRN/DIAPH3/IQGAP3/CAV1/BCR/ARAP1/RACGAP1/TAGAP/ECT2/NCKAP1L/ABR/NGEF/DOCK5/ARHGAP25/ARAP3/ARAP2/ARHGEF6/ARHGAP33/DEPDC1B/VRK2/DOCK11/DOCK8/NCF2/SRGAP1",76
"R-HSA-977443","GABA receptor activation","33/2535","60/11230",0.55,2.43648915187377,6.02387732320746,4.83237498113777e-08,8.85935413208591e-06,7.73179996982043e-06,"GABRA4/KCNJ9/GABRA1/GABRB2/GNAI3/GNB5/KCNJ6/GABRA2/NPTN/GABRG2/ADCY5/GNG5/GABRB1/GABBR1/KCNJ3/ADCY1/GNG3/ARHGEF9/GNG12/GNG7/GABRB3/KCNJ4/GABBR2/GNG13/GABRA5/ADCY9/GABRA6/GNAL/GNAI1/KCNJ16/ADCY8/ADCY2/KCNJ2",33
"R-HSA-210500","Glutamate Neurotransmitter Release Cycle","18/2535","24/11230",0.75,3.32248520710059,6.149757599434,7.10533749672847e-08,1.06580062450927e-05,9.30153272299e-06,"GLS2/PPFIA3/RIMS1/RAB3A/STX1A/STXBP1/CPLX1/SYT1/SLC17A7/PPFIA4/PPFIA2/SNAP25/SLC1A6/SLC1A2/TSPOAP1/GLS/VAMP2/SLC1A1",18
