"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048167","regulation of synaptic plasticity","109/3900","231/18860",0.471861471861472,2.28187368187368,10.0088063526862,1.25368933588991e-19,7.90576495212179e-16,6.08897115346953e-16,"CAMK2A/PPFIA3/NCDN/F2R/IQSEC2/ITPKA/CPLX2/AKAP5/DLG4/SYT12/YWHAH/PRKCG/UNC13C/RAB3A/NPAS4/GRIN1/SHANK3/PRKCZ/PENK/RASGRF2/SLC8A2/CAMK2B/STXBP1/SYNGR1/CALM3/SYP/PPP3CB/MPP2/NRGN/KCNQ3/CYP46A1/CRH/NPTN/JPH3/MAP1A/CAMK2G/YWHAG/ABL1/SYNGAP1/PTK2B/CDK5/CALB2/CNTN4/PICK1/CLN3/LARGE1/NEURL1/RGS14/SLC24A1/RAPGEF2/MCTP1/GRM5/SLITRK4/GRM2/SNAP25/SHANK2/ADCY1/KCNB1/SYT4/JPH4/KIT/SLC24A2/PRRT2/CALB1/BAIAP2/SNCA/NCSTN/GRIN2C/RARA/MAPT/MECP2/FXR2/MEF2C/SHISA7/CNTN2/CD2AP/BRSK1/GRIN2A/VAMP2/SHISA8/EPHA4/SLC8A3/PRKAR1B/LRRTM1/CX3CL1/CDC20/DBN1/STAU2/LRRTM2/SIPA1L1/SHISA6/SLC1A1/FAM107A/NEUROD2/ABHD6/SORCS2/NR2E1/CPEB3/GRIK2/GRIA3/ADORA1/GRIA1/STX3/GRID1/ADCY8/SORCS3/PLK2/NSG1/NOG",109
"GO:0099504","synaptic vesicle cycle","104/3900","220/18860",0.472727272727273,2.28606060606061,9.79660637937826,7.29201609371554e-19,2.29917267434851e-15,1.77080853981071e-15,"SLC32A1/BTBD9/PACSIN1/SYT5/BSN/SNCB/STX1B/PPFIA3/SYN2/CPLX2/SYT12/UNC13A/PRKCG/UNC13C/RIMS1/RAB3A/SNCG/RIMS4/TPRG1L/PPP3CA/SYN1/STX1A/DNAJC5/DOC2A/STXBP1/NAPB/ATP6V1E1/PREPL/RIMS3/CACNB4/CALM3/SYP/SYNGR3/PPP3CB/SYT2/SYNJ1/CPLX1/EFR3A/RAB3B/PCLO/AP3M2/DNM1/SV2B/SYT13/RPH3A/ERC2/SYT1/SLC17A7/ATP6V1D/ATP6V1A/SNPH/ROCK1/CACNA1B/CDK5/DGKQ/PRKCB/CLTB/STON1/PIP5K1C/SV2A/ATP6V1G2/RAPGEF4/BRSK2/GRIPAP1/RIMS2/NPY/STXBP5/CADPS2/CAPN2/SLC17A6/SGIP1/DNM3/RAB27B/ATP6V0A1/SH3GL2/PPFIA2/DNAJC6/VAMP4/AMPH/SNAP25/SYT4/PPP3R1/ATP6V1B2/BIN1/PRRT2/SNCA/AP3B2/SCRIB/BRSK1/SV2C/EPS15L1/VAMP2/FBXL20/ATP8A1/PRKAR1B/DNM2/NRXN1/TBC1D24/CADPS/SYNJ2/CPLX3/SCRN1/P2RY1/SYT9",104
"GO:0099003","vesicle-mediated transport in synapse","116/3900","259/18860",0.447876447876448,2.16588456588457,9.64635245038366,1.42314002309549e-18,2.99144032854671e-15,2.30398879528512e-15,"SLC32A1/BTBD9/PACSIN1/SYT5/BSN/SNCB/STX1B/PPFIA3/NCDN/SYN2/CPLX2/CALY/SYT12/UNC13A/PRKCG/UNC13C/RIMS1/RAB3A/SNCG/RIMS4/TPRG1L/PPP3CA/SYN1/STX1A/DNAJC5/DOC2A/STXBP1/NAPB/AP3M1/ATP6V1E1/PREPL/RIMS3/CACNB4/CALM3/SYP/SYNGR3/PPP3CB/SYT2/SYNJ1/CPLX1/EFR3A/RAB3B/PCLO/AP3M2/DNM1/SV2B/SYT13/HPCA/RPH3A/ERC2/SYT1/SLC17A7/ATP6V1D/ATP6V1A/SNPH/ROCK1/CACNA1B/CDK5/NECAP1/DGKQ/PRKCB/CLTB/STON1/PIP5K1C/SV2A/ATP6V1G2/RAPGEF4/BRSK2/GRIPAP1/RIMS2/NPY/STXBP5/CADPS2/CAPN2/SLC17A6/SGIP1/DNM3/RAB27B/ATP6V0A1/SH3GL2/PPFIA2/DNAJC6/VAMP4/CLSTN1/AMPH/SNAP25/SYT4/NRG1/PPP3R1/ATP6V1B2/BIN1/PRRT2/SNCA/AP3B2/SCRIB/USP46/BRSK1/SV2C/EPS15L1/VAMP2/FBXL20/ATP8A1/PRKAR1B/DNM2/NRXN1/TBC1D24/CADPS/SYNJ2/STX3/HIP1/CPLX3/SUSD4/SCRN1/NSG1/P2RY1/SYT9",116
"GO:0042391","regulation of membrane potential","179/3900","474/18860",0.377637130801688,1.82621443254355,9.30173916437639,4.00256102662343e-18,6.31003745847184e-15,4.85995173074751e-15,"GABRA4/RGS7BP/RYR2/SCN2B/GOT1/KCNH3/STX1B/KCNJ9/KCNV1/SHANK1/SCN1B/GABRA1/DLG4/MAPK8IP2/GABRB2/YWHAH/KCNC4/RIMS1/NPAS4/RIMS4/SCN8A/GRIN1/PPP3CA/SHANK3/STX1A/PRKCZ/SLC8A2/CHRM1/RIMS3/CACNB4/CALM3/MPP2/KCNQ3/GABRA2/NOS1AP/CELF4/HCN2/GABRG2/NTSR2/ASIC2/KCTD16/GABRD/ABL1/KCNC3/AKAP6/SLC17A7/PTK2B/SCN3B/SCN2A/KCNA1/KCNK9/CDK5/RGS7/TUSC2/TMEM25/FGF12/CNTNAP1/UCP2/CACNB3/PINK1/RGS4/CLN3/CACNB2/GABRB1/MTCH2/ADRB1/GABBR1/CACNG2/TAC1/RIMS2/CACNA1I/COL6A1/CLIC1/BEGAIN/KCNIP2/KCNG3/GRM5/KCNA2/FLNA/FKBP1B/CHRNA3/HCN1/ANK3/DLG1/KCNJ3/KCNB1/KCNK1/SLC1A6/BIN1/SCN4B/EDN1/GPR88/DSG2/KCNC1/ABCC8/BAIAP2/SNCA/ANK2/TSPO/GRIN2C/CUX2/MAPT/CACNA1D/KCNQ2/MECP2/NPPA/KCNK3/MEF2C/KCNMB4/SEZ6/SLC24A4/ATXN1/CHCHD10/SLC25A27/GRIN2A/NEDD4L/ATP1A1/SCN1A/EHD3/GRM1/GABRB3/SLC4A3/FGF13/ATP1B1/NEDD4/SLC8A3/SLC25A33/NOS1/PRKAR1B/CACNA1G/GPD1L/FXYD1/NRXN1/ACTN2/MLLT11/GLRB/KCNN2/KCNQ5/GABRA5/PMAIP1/TBC1D24/NALCN/SNTA1/CAV1/P2RX5/GRIA4/GABRA6/SLC29A1/KDR/KCNE4/KCNJ8/GRIK2/KCNS3/GRIA2/PYCR1/GRIA3/GNA14/CACNA2D1/P2RX4/DSC2/CNIH3/KCND3/ADORA1/GRIA1/KCNF1/STOX1/TACR1/ATP1B2/GRID1/CDKN2A/ATP1A2/SLC4A4/NRCAM/CD36/KCNJ2/KCNMB2/GJA1/SCN3A/ABAT",179
"GO:0010975","regulation of neuron projection development","171/3900","448/18860",0.381696428571429,1.84584478021978,9.25134835641941,6.73828124915645e-18,6.62454788721564e-15,5.10218571312417e-15,"PACSIN1/INPP5J/ARHGAP44/STX1B/SCN1B/ITPKA/PAK1/RTN4RL1/NEFL/YWHAH/NDEL1/NCS1/RYK/LZTS3/PPP3CA/SHANK3/ZDHHC15/VIM/CAMK2B/MYCBP2/HECW1/BDNF/CHN1/CAPRIN1/SRCIN1/SERPINI1/EZH2/NPTN/PPP2R5B/ATP8A2/ATF1/AMIGO1/MAG/NCKIPSD/STMN3/SEMA3G/IL1RAPL1/CAMK2G/ABL1/SYNGAP1/MAPRE3/ZNF365/DPYSL3/PTK2B/APBB1/MDK/CDK5/XK/ZFYVE27/RTN4R/DRAXIN/MAP2K1/TIAM2/PAK2/BRSK2/RAPGEF2/ADNP/MCF2/WNT5A/LRRC7/FIG4/CHRNA3/KIAA0319/FEZF2/PPFIA2/CAMK1/SNAP25/CAMK1D/NRP1/INPP5F/NDRG4/PAK3/PTK7/PLXNB2/KLK6/THY1/SMAD1/CAMSAP2/NTN1/SLC39A12/BAIAP2/CFLAR/KNDC1/CUX2/MAPT/STMN2/SEMA4F/SHTN1/TRIM46/ARMCX5-GPRASP2/RIT2/SMURF1/TWF1/GRN/NEGR1/TIAM1/SEZ6/SLITRK1/CNTN2/SEMA7A/BRSK1/FUT9/CDK5R1/NEDD4L/NTNG1/PTPRO/PLXNA3/FN1/KIF1A/TSKU/SF3A2/FGF13/NEDD4/EPHA4/BMPR1A/ADGRB3/OBSL1/LRRC4C/NTNG2/L1CAM/ATOH7/CX3CL1/P3H1/CDC20/ENC1/DBN1/RUFY3/STAU2/SPOCK1/MAP2/PTPRD/SIPA1L1/HECW2/SS18L1/TBC1D24/RGS2/HES1/ROBO2/PRRX1/CTNNA2/ULK4/PLPPR5/ULK1/TANC2/TNFRSF12A/DAB1/CHODL/NR2E1/EPHA7/RET/GPC2/ZNF804A/MBOAT1/PRKD1/VEGFA/LIMK1/NGEF/MT3/FZD1/ATP1B2/FAT3/ARHGAP33/MYLIP/NRCAM/BMP5/EFHC2/SFRP2/TBR1/LRP8/SEMA3A/CDH1",171
"GO:0007269","neurotransmitter secretion","80/3900","154/18860",0.519480519480519,2.51215451215451,9.6203728081725,7.35360532992539e-18,6.62454788721564e-15,5.10218571312417e-15,"SLC32A1/CAMK2A/SYT5/STX1B/PPFIA3/SYN2/CPLX2/SYT12/UNC13A/PRKCG/UNC13C/RIMS1/RAB3A/SNCG/RIMS4/TPRG1L/PPP3CA/SYN1/STX1A/DNAJC5/DOC2A/STXBP1/NAPB/PREPL/RIMS3/CACNB4/CALM3/SYP/SYNGR3/SYT2/SYNJ1/CPLX1/EFR3A/PCLO/LIN7B/SV2B/SYT13/RPH3A/HRH3/ERC2/SYT1/MICU3/SNPH/CACNA1B/CDK5/PRKCB/PIP5K1C/SV2A/PTPRN2/GPR158/RIMS2/NPY/STXBP5/CADPS2/MCTP1/CHRNA3/PPFIA2/SNAP25/SYT4/PRRT2/ABCC8/SNCA/SCRIB/MEF2C/KCNMB4/BRSK1/TSPOAP1/SV2C/VAMP2/FBXL20/LIN7A/NRXN2/NRXN1/MYOF/CADPS/KCNJ8/CPLX3/SLC6A9/P2RY1/SYT9",80
"GO:0099643","signal release from synapse","80/3900","154/18860",0.519480519480519,2.51215451215451,9.6203728081725,7.35360532992539e-18,6.62454788721564e-15,5.10218571312417e-15,"SLC32A1/CAMK2A/SYT5/STX1B/PPFIA3/SYN2/CPLX2/SYT12/UNC13A/PRKCG/UNC13C/RIMS1/RAB3A/SNCG/RIMS4/TPRG1L/PPP3CA/SYN1/STX1A/DNAJC5/DOC2A/STXBP1/NAPB/PREPL/RIMS3/CACNB4/CALM3/SYP/SYNGR3/SYT2/SYNJ1/CPLX1/EFR3A/PCLO/LIN7B/SV2B/SYT13/RPH3A/HRH3/ERC2/SYT1/MICU3/SNPH/CACNA1B/CDK5/PRKCB/PIP5K1C/SV2A/PTPRN2/GPR158/RIMS2/NPY/STXBP5/CADPS2/MCTP1/CHRNA3/PPFIA2/SNAP25/SYT4/PRRT2/ABCC8/SNCA/SCRIB/MEF2C/KCNMB4/BRSK1/TSPOAP1/SV2C/VAMP2/FBXL20/LIN7A/NRXN2/NRXN1/MYOF/CADPS/KCNJ8/CPLX3/SLC6A9/P2RY1/SYT9",80
"GO:0007409","axonogenesis","175/3900","472/18860",0.370762711864407,1.79297044763146,8.90813092095431,7.7912681907201e-17,6.14146715133512e-14,4.73011992526086e-14,"SCN1B/PAK1/SPTBN4/NEFL/NDEL1/VANGL2/CDK5R2/SPG21/RAB3A/RYK/CCK/KIFC2/ATL1/MYCBP2/STXBP1/SEMA4A/BDNF/ENAH/PPP3CB/ITGB1/NEFH/CHN1/NPTN/ATP8A2/NECTIN1/AMIGO1/MAG/NRXN3/MAP1A/EPHB6/SEMA3G/ABL1/SYNGAP1/CYFIP2/KIF5C/PCDHAC2/SLC9A6/APBB1/WDR47/CDK5/PRKCQ/CNTN4/CNTNAP1/XK/SMO/ZFYVE27/ARHGEF40/APLP1/RTN4R/DRAXIN/MAP2K1/TCTN1/TIAM2/PAK2/BRSK2/ADNP/MCF2/WNT5A/SMAD4/SLITRK4/KIAA0319/B4GAT1/FEZF2/ANK3/EPHA5/SLIT3/ADCY1/NRP1/NR4A2/PAK3/PTK7/OLFM1/PLXNB2/THY1/ARHGEF25/NTN1/EDN1/ADARB1/B4GALT6/BAIAP2/UNC5A/EPHA10/NFIB/MAPT/ITGA4/SEMA4F/UCHL1/SHTN1/SIN3A/TRIM46/ARX/SMURF1/NPTX1/UNC5C/KIF5A/TIAM1/CNTN6/SLITRK1/CNTN2/CD2AP/SEMA7A/BRSK1/CDH11/DOCK7/CDK5R1/EVL/NTNG1/PRICKLE1/PTPRO/PLXNA3/FN1/TSKU/TTC8/FGF13/SZT2/EPHA4/UNC5D/SLITRK5/GLI2/LRRC4C/NTNG2/DNM2/L1CAM/ATOH7/NRXN1/EDNRA/RUFY3/SEMA5B/LAMA2/MAP2/PLEKHG4/SIPA1L1/KALRN/PLPPR4/LAMB2/LGI1/CELSR3/SLITRK3/NR4A3/ROBO2/NELL2/CNP/STMN1/CTNNA2/EFNA3/ULK1/NOTCH1/PLXNA4/VAX2/CELSR1/TNFRSF12A/DAB1/CHODL/NR2E1/IGSF9/EPHA7/RET/ERBB2/VEGFA/LIMK1/PALLD/MT3/NFASC/FGFR2/PLEKHG4B/BCL11B/NRCAM/GAP43/PRKCA/TBR1/NOG/SEMA3A/S100A6/CDH1/ALCAM",175
"GO:0006836","neurotransmitter transport","98/3900","216/18860",0.453703703703704,2.19406457739791,9.01178828814291,2.31134278720538e-16,1.61948084623524e-13,1.24731410762171e-13,"SLC32A1/SLC6A17/CAMK2A/SYT5/STX1B/PPFIA3/SYN2/CPLX2/SYT12/UNC13A/PRKCG/UNC13C/RIMS1/RAB3A/SNCG/RIMS4/TPRG1L/PPP3CA/SYN1/STX1A/DNAJC5/DOC2A/STXBP1/NAPB/PREPL/RIMS3/CACNB4/CALM3/SYP/SYNGR3/ITGB1/SYT2/SYNJ1/CPLX1/EFR3A/RAB3B/PCLO/LIN7B/SV2B/SYT13/RPH3A/HRH3/ERC2/SYT1/SLC17A7/MICU3/SNPH/CACNA1B/CDK5/PRKCB/PIP5K1C/SV2A/PTPRN2/GPR158/RIMS2/NPY/STXBP5/CADPS2/SLC17A6/MCTP1/CHRNA3/PPFIA2/SNAP25/SYT4/SLC1A6/SLC1A2/SLC6A1/PRRT2/ABCC8/SNCA/ICA1/SCRIB/MEF2C/KCNMB4/SLC6A15/BRSK1/TSPOAP1/SV2C/VAMP2/FBXL20/NOS1/LIN7A/NRXN2/NRXN1/SLC29A2/MYOF/SLC1A1/CADPS/SLC29A1/KCNJ8/SLC6A11/STX3/CPLX3/ATP1A2/SLC22A4/SLC6A9/P2RY1/SYT9",98
"GO:0007416","synapse assembly","119/3900","284/18860",0.419014084507042,2.02630913687252,8.89789140626147,2.67194665299727e-16,1.68492955938008e-13,1.29772230072941e-13,"GABRA4/BSN/SLC12A5/LRTM2/IQSEC2/CASKIN1/GABRA1/ICAM5/RTN4RL1/GABRB2/RYK/NPAS4/SHANK3/CLSTN3/KIRREL3/MYCBP2/SEMA4A/BDNF/CAPRIN1/GABRA2/PCLO/NPTN/GABRG2/ASIC2/NECTIN1/AMIGO1/GNA13/NCKIPSD/LIN7B/IL1RAPL1/ABL1/CYFIP2/PTK2B/CDK5/RTN4R/LARGE1/CBLN2/NEURL1/SPTBN2/ADNP/WNT5A/SLITRK4/DNM3/CBLN4/CLSTN1/LRFN5/SHANK2/LGI2/ARHGEF9/PLXNB2/ELMO1/LRFN1/NTN1/SNCA/CUX2/MAPT/SENP1/LINGO2/ARHGAP12/MECP2/ARMCX5-GPRASP2/NPTX1/MEF2C/NEGR1/SLITRK1/HAPLN4/PRICKLE1/PLXNA3/CARMIL3/GABRB3/LRRN1/SRPX2/FGF13/SRGAP3/NRG3/DOCK4/SLITRK5/LHFPL4/ADGRB3/ADGRB2/LIN7A/LRRTM1/PCDHB2/SIGMAR1/NTNG2/NRXN2/PCDHB16/GPHN/GABRG1/NRXN1/STAU2/PLXNA2/LRRTM2/PTPRD/GABRA5/SLITRK3/ROBO2/GABRA6/PLXNA4/KCNJ8/CPEB3/LRRC4/NLGN4Y/EPHA7/IL1RAP/CRTAC1/GPC4/FZD1/GRIA1/SPOCK2/ARHGAP33/ERBB4/SIX1/NRCAM/MDGA1/GAP43/PRKCA/SRGAP1/CDH1",119
