"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","46/1921","89/9400",0.51685393258427,2.52911346501413,7.34546499163601,5.13406501578285e-11,1.78665462549243e-08,1.11328146658028e-08,"27165/140679/2557/2572/57468/2554/2561/2773/5582/10681/3763/2555/2566/2563/5567/111/774/5579/2787/2560/2550/107/2785/23710/6529/2571/776/5334/55970/2788/2744/2562/9568/51764/10243/2565/2558/115/2559/92745/6538/2770/114/108/5578/18",46
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","108/1921","299/9400",0.361204013377926,1.76747408940786,6.83498396175641,1.29075003755614e-10,2.24590506534768e-08,1.39944477756087e-08,"8541/57524/5058/57731/4008/91768/5601/5582/5291/22999/6334/5962/84623/56924/3688/3786/84552/5818/4099/7277/11141/25/50855/2036/8497/10382/3736/5588/8506/5579/81873/5604/117178/5062/6712/9693/7280/5600/3737/139065/8499/208/288/1445/6586/145581/8826/8829/5063/3384/5829/9423/10458/287/90249/26047/3676/57144/3785/5817/4478/8633/114798/6900/23607/55558/9901/137970/26050/4629/9223/57689/3897/5819/5362/4133/998/5789/4301/6709/22865/5602/6092/23136/84617/253559/8832/56253/3383/91584/3791/22829/150084/5599/962/3556/3678/23114/6300/10095/57180/342035/3689/4897/5578/3937/57522/999",108
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","54/1921","116/9400",0.46551724137931,2.27790841695238,7.01849346664494,1.95336220551118e-10,2.26590015839297e-08,1.41190390994844e-08,"27165/23154/50944/1742/2773/5582/9762/2902/5530/85358/2913/10681/5532/3708/57030/5567/111/5579/2787/157/9456/57084/2915/2912/23236/3760/22941/107/2785/6511/5534/6506/9229/2905/776/55970/2788/8605/5332/2903/2744/2911/51764/115/6505/2893/2898/2891/2770/2892/2890/114/108/5578",54
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","107/1921","300/9400",0.356666666666667,1.74527155995141,6.64870739548854,3.68702428488112e-10,3.20771112784657e-08,1.99875527022503e-08,"10368/5058/6416/23542/5601/5582/4294/7046/5530/4293/7157/5924/627/23162/785/5532/5801/51135/1849/5567/1845/774/59283/55799/84867/5579/5598/784/5604/783/369/8986/5062/10369/10125/9693/8911/4615/5600/51701/2316/7786/208/777/3551/5494/5534/3815/4137/4775/776/22808/782/55970/7048/408/4208/8605/2321/5970/4609/1844/10746/3164/8913/355/998/5871/2254/7040/7867/5602/284/6196/3925/4214/1944/27330/5880/3791/56034/3479/2246/5979/285/5599/2064/2122/3556/781/7422/4772/3310/9254/4217/7132/3553/2263/6300/1326/2261/2066/5578/7424/2065/4616/27092",107
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","45/1921","91/9400",0.494505494505495,2.4197561938322,6.89708683196431,5.51806135696211e-10,3.84057070444563e-08,2.39309608322988e-08,"140679/2557/3765/2554/2561/2773/5582/10681/3763/2555/2566/2563/5136/5567/111/774/5579/5138/5153/2787/157/2560/2550/3760/107/2785/5141/55970/408/2788/2562/9568/51764/2565/2558/115/2559/5137/2770/27115/134/10846/114/108/5578",45
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","78/1921","199/9400",0.391959798994975,1.91797090606599,6.63316316666839,6.9626674648261e-10,4.03834712959914e-08,2.51633245220031e-08,"140679/2557/2554/3361/3356/2561/2773/5582/2902/2913/5179/1128/10681/4986/2555/2566/2563/11255/3354/57030/5567/111/5579/2787/2560/153/2550/6863/5368/57084/3358/2915/150/1136/2912/23236/107/2785/6511/6506/6529/5173/2905/55970/3363/2788/6866/5332/2903/2911/2562/9568/51764/2565/2743/2558/115/6505/5026/2893/2559/2774/1131/2898/2891/6538/2770/2892/5025/134/2890/6869/79627/114/108/6536/5578/5028",78
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","85/1921","233/9400",0.36480686695279,1.78510387785332,6.14998714407389,7.29873886833065e-09,3.62851589454152e-07,2.26096271710694e-07,"57731/83660/1466/7431/22795/3688/79188/271/3930/57644/4604/2201/3339/1281/11155/4811/6712/8557/1291/1277/91010/288/1278/633/1282/1829/1462/1292/2026/287/1284/1289/29767/23224/3676/2318/4001/476/2335/4000/481/2006/752/29766/4629/64423/2200/7138/825/255631/3908/88/7094/9124/7059/81624/1288/3696/284217/84823/6709/23345/6640/9260/1293/6385/3672/3673/23500/1290/3678/1824/72/7171/161176/482/70/6382/1465/56776/7791/10529/477/84467/27295",85
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","62/1921","154/9400",0.402597402597403,1.97002372952399,6.1510394861511,1.18617228865693e-08,5.15984945565764e-07,3.21515120346484e-07,"815/6262/10368/7226/3765/2773/5582/10645/5530/816/814/785/808/5532/3763/54776/818/3708/5567/111/6093/59283/55799/5579/5598/784/5604/783/10369/57172/8536/23236/3760/107/57118/5534/9475/4775/776/4878/782/4208/8605/5332/6261/3761/5563/91860/115/5997/595/4660/2770/781/4772/9254/114/108/3759/5743/5578/27092",62
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","62/1921","158/9400",0.392405063291139,1.92014971105503,5.91135166344205,3.72683421872323e-08,1.44104256457298e-06,8.9792730883858e-07,"7465/1017/8243/983/1875/7533/4174/7157/4171/5526/1019/7532/10403/25/4172/5591/701/472/5925/5933/1032/10459/9133/4089/9126/1031/1111/7272/5111/57082/9700/2810/3065/4999/26271/4085/10274/4176/25906/699/4173/890/891/4609/1663/991/81620/9212/6502/9232/7040/5525/11200/1021/595/1030/993/113130/1029/995/10926/4616",62
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","54/1921","133/9400",0.406015037593985,1.98674719072538,5.80824434452309,7.38412861307358e-08,2.56805237849432e-06,1.60017782809991e-06,"815/3765/50632/2773/5601/5582/5530/816/10681/808/5532/3763/5526/818/3708/5567/3800/111/774/5579/2787/28227/5600/208/23236/3760/2785/148327/5522/776/55970/408/2788/3798/5332/2903/6323/51764/64764/91860/5525/5602/2893/2774/2891/5599/2770/2892/5521/2890/6300/84152/5578/4128",54
