"GO_ID","SelectedGenesInTerm","TermSize","P.Value","GO_Term","adj.P.Val"
"GO:0007268",113,219,3.57398327943258e-19,"chemical synaptic transmission",1.53323882687658e-15
"GO:0051301",125,330,5.88459646854222e-09,"cell division",1.26224594250231e-05
"GO:0007062",51,103,1.18753696514905e-08,"sister chromatid cohesion",1.69817786016315e-05
"GO:0007269",31,51,1.85366418224497e-08,"neurotransmitter secretion",1.98805483545773e-05
"GO:0014047",20,27,4.84724660423545e-08,"glutamate secretion",4.15893758643402e-05
"GO:0007409",42,82,6.61873882089485e-08,"axonogenesis",4.73239825693982e-05
"GO:0017157",16,20,1.81976517963577e-07,"regulation of exocytosis",0.00011152560886625
"GO:0035556",126,354,3.15969343195179e-07,"intracellular signal transduction",0.000169438560288415
"GO:0007067",92,241,3.81965479752421e-07,"mitotic nuclear division",0.00017029819732258
"GO:0007399",101,271,4.04047442381475e-07,"nervous system development",0.00017029819732258
"GO:0006813",39,78,4.36662044416871e-07,"potassium ion transport",0.00017029819732258
"GO:0007420",76,191,5.88489806416596e-07,"brain development",0.000210385105793933
"GO:0051056",57,134,1.21839679210526e-06,"regulation of small GTPase mediated signal transduction",0.000402070941394736
"GO:0034765",49,110,1.34028863193708e-06,"regulation of ion transmembrane transport",0.000410702730786434
"GO:0000082",44,98,3.52743744356056e-06,"G1/S transition of mitotic cell cycle",0.000962723669895339
"GO:0006260",58,141,3.59057778981945e-06,"DNA replication",0.000962723669895339
"GO:0006468",145,438,4.99073662115997e-06,"protein phosphorylation",0.00120687405719008
"GO:0007368",29,56,5.26706106969388e-06,"determination of left/right symmetry",0.00120687405719008
"GO:0007155",133,396,5.34512985701899e-06,"cell adhesion",0.00120687405719008
"GO:0030334",32,66,1.05926402790172e-05,"regulation of cell migration",0.00227212133984918
"GO:0048167",18,29,1.23675800807242e-05,"regulation of synaptic plasticity",0.00241167811574122
"GO:0060079",18,29,1.23675800807242e-05,"excitatory postsynaptic potential",0.00241167811574122
"GO:1903861",13,18,1.90933819392722e-05,"positive regulation of dendrite extension",0.00356133080519468
"GO:0016079",12,16,2.20279319207007e-05,"synaptic vesicle exocytosis",0.00393749283082525
"GO:0031175",42,98,2.36028450206137e-05,"neuron projection development",0.00393831842787386
"GO:0045956",11,14,2.38685965325689e-05,"positive regulation of calcium ion-dependent exocytosis",0.00393831842787386
"GO:0071260",36,80,2.481927924812e-05,"cellular response to mechanical stimulus",0.00394350770275684
"GO:0018105",48,117,2.59765737151785e-05,"peptidyl-serine phosphorylation",0.00397998218707557
"GO:0000086",52,130,2.81469041820244e-05,"G2/M transition of mitotic cell cycle",0.00416380065313395
"GO:0002062",20,36,4.06784849357422e-05,"chondrocyte differentiation",0.00568134902263313
"GO:0072659",28,58,4.10540372264865e-05,"protein localization to plasma membrane",0.00568134902263313
"GO:0030198",69,189,5.56135531760319e-05,"extracellular matrix organization",0.00745569197266178
"GO:0048488",12,17,5.85943362397014e-05,"synaptic vesicle endocytosis",0.00761726371116119
"GO:0061337",23,45,6.41628369352511e-05,"cardiac conduction",0.00809584030741845
"GO:0007205",18,32,7.92676015293353e-05,"protein kinase C-activating G-protein coupled receptor signaling pathway",0.00904303722263696
"GO:0071625",10,13,7.95259521972161e-05,"vocalization behavior",0.00904303722263696
"GO:0048791",14,22,7.9745943802647e-05,"calcium ion-regulated exocytosis of neurotransmitter",0.00904303722263696
"GO:0060291",21,40,8.01014952121689e-05,"long-term synaptic potentiation",0.00904303722263696
"GO:0050885",22,43,9.04305157508174e-05,"neuromuscular process controlling balance",0.00960138765028341
"GO:0007626",34,78,9.08231692177094e-05,"locomotory behavior",0.00960138765028341
"GO:0006887",33,75,9.17615136740372e-05,"exocytosis",0.00960138765028341
"GO:0045666",31,70,0.000127974453825884,"positive regulation of neuron differentiation",0.0130716763550724
"GO:0030036",45,114,0.000136157847909236,"actin cytoskeleton organization",0.0135841201751307
"GO:0007616",16,28,0.00015412507209523,"long-term memory",0.015027194529285
"GO:0007214",14,23,0.000159147647685156,"gamma-aminobutyric acid signaling pathway",0.0151720757459849
"GO:0043524",49,128,0.000171429449490888,"negative regulation of neuron apoptotic process",0.0159876595286067
"GO:0061178",11,16,0.00017598728085523,"regulation of insulin secretion involved in cellular response to glucose stimulus",0.0160635198908284
"GO:0071156",6,6,0.000180700203828505,"regulation of cell cycle arrest",0.0161500807171726
"GO:0048172",10,14,0.000218669341358834,"regulation of short-term neuronal synaptic plasticity",0.0191447239679469
"GO:0010976",38,94,0.00024741838249105,"positive regulation of neuron projection development",0.0212284972177321
"GO:0042493",105,325,0.000268227373995105,"response to drug",0.0225626555772353
"GO:0000722",17,32,0.000317004273459955,"telomere maintenance via recombination",0.0261528525604463
"GO:0000226",28,64,0.000341488966715933,"microtubule cytoskeleton organization",0.0269430583506268
"GO:0007612",25,55,0.00034353913059961,"learning",0.0269430583506268
