"ID","Term_Description","Fold_Enrichment","occurrence","support","lowest_p","highest_p","Up_regulated","Down_regulated"
"R-HSA-9013148","CDC42 GTPase cycle",2.07685245634079,10,0.148605257876781,3.26476450519709e-52,7.4548969579996e-10,"ARAP1, ARAP3, ARFGAP3, ARHGAP17, ARHGAP42, ARHGEF6, CAV1, CDC42, DEPDC1B, DIAPH3, DOCK11, DOCK7, DOCK8, ECT2, FMNL3, FNBP1L, GNA13, IQGAP1, IQGAP2, IQGAP3, KCTD3, LBR, MYO9B, PAK2, PLEKHG4, PLEKHG4B, RACGAP1, SCRIB, SPATA13, SRGAP1, STEAP3, SYDE1, TAGAP, TMPO, VANGL1","ABR, ARAP2, ARHGAP20, ARHGAP26, ARHGAP32, ARHGAP33, ARHGAP44, ARHGDIG, ARHGEF25, ARHGEF9, BAIAP2, BCR, CDC42BPA, CHN1, CPNE8, DOCK9, FMNL1, MCF2, MCF2L, NGEF, PAK1, PAK3, PAK6, PARD6A, RASGRF2, SRGAP3, TIAM1, WIPF3"
"R-HSA-9013149","RAC1 GTPase cycle",2.10362587658827,10,0.14024349454813,1.46979989225853e-36,2.51172196242617e-13,"ARAP1, ARAP3, ARHGAP12, ARHGAP17, ARHGAP25, ARHGAP42, ARHGEF6, CAV1, CDC42, CYBA, DEPDC1B, DIAPH3, DOCK11, DOCK7, DOCK8, ECT2, GNA13, IQGAP1, IQGAP2, IQGAP3, ITGB1, JAG1, LBR, MYO9B, NCF2, NCKAP1L, PAK2, PKN2, PLEKHG4, RACGAP1, SPATA13, SRGAP1, SWAP70, TAGAP, TMPO, VANGL1, VRK2, WASF2","ABR, ARAP2, ARHGAP20, ARHGAP23, ARHGAP26, ARHGAP32, ARHGAP33, ARHGAP44, ARHGEF25, BAIAP2, BCR, CDC42BPA, CHN1, CHN2, CYFIP2, DOCK3, DOCK4, DOCK5, DOCK9, FMNL1, KALRN, MCF2, MCF2L, MPP7, NGEF, NOXA1, PAK1, PAK3, PAK6, PARD6A, RASGRF2, SRGAP3, TIAM1, TIAM2, WASF1, WASF3, WIPF3"
"R-HSA-2990846","SUMOylation",1.5438071540311,10,0.363827114294879,1.50323126225166e-33,3.50744490194517e-28,"AURKA, AURKB, BIRC5, BLM, BRCA1, CBX2, CDCA8, CDKN2A, CETN2, DNMT3A, DNMT3B, HDAC1, HNRNPC, MDC1, NR1H3, NSMCE4A, NUP107, NUP160, NUP205, NUP35, NUP37, NUP54, NUP62, NUP85, NUP88, PCGF2, PCNA, PHC1, RARA, RELA, SENP1, SIN3A, SMC1A, SMC3, SMC5, SP100, SP3, STAG1, TDG, TOP2A, TP53, UBE2I, WRN, XRCC4","CHD3, NR3C2, NR4A2, RANGAP1, RORA, SATB1, SENP5, THRB"
"R-HSA-3108232","SUMO E3 ligases SUMOylate target proteins",1.5384092269191,10,0.362872340425532,1.62371601464371e-32,4.01125874084334e-27,"AURKA, AURKB, BIRC5, BLM, BRCA1, CBX2, CDCA8, CDKN2A, CETN2, DNMT3A, DNMT3B, HDAC1, HNRNPC, MDC1, NR1H3, NSMCE4A, NUP107, NUP160, NUP205, NUP35, NUP37, NUP54, NUP62, NUP85, NUP88, PCGF2, PCNA, PHC1, RARA, RELA, SIN3A, SMC1A, SMC3, SMC5, SP100, SP3, STAG1, TDG, TOP2A, TP53, UBE2I, WRN, XRCC4","CHD3, NR3C2, NR4A2, RANGAP1, RORA, SATB1, THRB"
"R-HSA-9013409","RHOJ GTPase cycle",2.30761384037865,10,0.146968085106383,6.01657055177159e-31,4.18211443288464e-09,"ARL13B, CAV1, CDC42, DEPDC1B, DIAPH3, DOCK8, FMNL3, FNBP1L, IQGAP3, PAK2, RHOJ, SCRIB, SLC4A7, STEAP3, SYDE1, TMPO, VANGL1","ARHGAP26, ARHGAP32, CDC42BPA, CPNE8, GJA1, MPP7, PAK1, PAK3"
"R-HSA-69620","Cell Cycle Checkpoints",1.72569382845708,10,0.509949494949495,3.57540865231597e-29,1.28604709189699e-17,"ATM, ATRIP, AURKB, BARD1, BIRC5, BLM, BRCA1, BRIP1, BUB1, BUB1B, CCNA2, CCNB1, CCNB2, CDC20, CDC25A, CDC25C, CDCA8, CDK1, CDK2, CDKN2A, CENPE, CENPF, CENPH, CENPI, CENPK, CENPL, CENPM, CENPQ, CENPU, CHEK1, CHEK2, DBF4, ERCC6L, EXO1, FAM175A, KIF18A, KIF2C, KNTC1, MAD2L1, MAPRE1, MCM10, MCM2, MCM3, MCM4, MCM5, MCM7, MCM8, MDC1, MIS12, NDC80, NDE1, NUF2, NUP107, NUP160, NUP37, NUP85, ORC2, PSMB8, PSMB9, PSME1, PSMF1, RBBP8, RCC2, RFC2, RFC3, RFC4, RFC5, RHNO1, RMI1, SFN, SPC25, SPDL1, TP53, UBE2C, WEE1, WRN, ZWINT","ANAPC15, DYNC1I1, DYNC1LI1, NDEL1, PPP2R5A, PPP2R5B, RANGAP1, YWHAG, YWHAH"
"R-HSA-5693532","DNA Double-Strand Break Repair",1.87038174430691,10,0.319040404040404,9.14059035613833e-29,1.04792303758486e-18,"ABL1, ATM, ATRIP, BARD1, BLM, BRCA1, BRCA2, BRIP1, CCNA2, CDK2, CHEK1, CHEK2, ERCC4, EXO1, EYA2, FAM175A, GEN1, MDC1, PCNA, POLD1, POLD3, POLE2, POLM, POLQ, PPP4C, PPP4R2, PRKDC, RAD51, RAD51AP1, RBBP8, RFC1, RFC2, RFC3, RFC4, RFC5, RHNO1, RMI1, SIRT6, TIMELESS, TIPIN, TP53, UBE2I, WRN, XRCC4, XRCC5","APBB1, BAP1, EME2, MAPK8"
"R-HSA-5693567","HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)",1.98883007273871,10,0.196449418811228,1.70602364834028e-25,3.32220804032605e-11,"ABL1, ATM, ATRIP, BARD1, BLM, BRCA1, BRCA2, BRIP1, CCNA2, CDK2, CHEK1, ERCC4, EXO1, FAM175A, GEN1, MDC1, PCNA, POLD1, POLD3, POLE2, PPP4C, PPP4R2, RAD51, RAD51AP1, RBBP8, RFC1, RFC2, RFC3, RFC4, RFC5, RHNO1, RMI1, SIRT6, TIMELESS, TIPIN, UBE2I, WRN","EME2"
"R-HSA-69481","G2/M Checkpoints",1.65378991893803,10,0.384318181818182,3.57007765947225e-25,1.73279330315653e-09,"ATM, ATRIP, BARD1, BLM, BRCA1, BRIP1, CCNB1, CCNB2, CDC25A, CDC25C, CDK1, CDK2, CHEK1, CHEK2, DBF4, EXO1, FAM175A, MCM10, MCM2, MCM3, MCM4, MCM5, MCM7, MCM8, MDC1, ORC2, PSMB8, PSMB9, PSME1, PSMF1, RBBP8, RFC2, RFC3, RFC4, RFC5, RHNO1, RMI1, SFN, TP53, WEE1, WRN","YWHAG, YWHAH"
"R-HSA-5693538","Homology Directed Repair",1.92226473305328,10,0.188415481663637,9.69434501099551e-25,7.85940373773085e-11,"ABL1, ATM, ATRIP, BARD1, BLM, BRCA1, BRCA2, BRIP1, CCNA2, CDK2, CHEK1, ERCC4, EXO1, FAM175A, GEN1, MDC1, PCNA, POLD1, POLD3, POLE2, POLQ, PPP4C, PPP4R2, RAD51, RAD51AP1, RBBP8, RFC1, RFC2, RFC3, RFC4, RFC5, RHNO1, RMI1, SIRT6, TIMELESS, TIPIN, UBE2I, WRN","EME2"
