"Gene.symbol","logFC","adj.P.Val"
"ANKRD34C",-5.65388765095549,1.34921110210806e-52
"GLS2",-5.50193731906101,2.57151902914915e-41
"CARMIL2",-3.20595105415391,1.87333575183099e-40
"CNNM1",-4.82352494569711,1.71141828281125e-39
"PRSS3",-4.66858115750217,2.29369438220238e-38
"DCTN1-AS1",-4.1485630911666,4.89384412963148e-38
"SDR16C5",-4.00997903277331,2.80565154391068e-36
"GJB6",-9.29804683670895,1.35626347531504e-35
"GPR26",-4.11747115450651,1.89576764366921e-35
"VWA5B2",-2.12729785715431,5.48819311666727e-35
"SLC32A1",-5.87105477311749,9.52403824541849e-35
"EGR4",-6.97362303416122,1.75129999402935e-34
"SPTB",-4.92237891763531,5.22010200648272e-34
"SLC6A17",-4.30634511010763,5.72891196017981e-33
"PHF24",-5.73578287565497,1.48295608885162e-32
"HAR1A",-3.41108680584846,1.89393658838008e-31
"OTUD7A",-4.62423528900763,3.83787593458939e-30
"WEE1",5.40032028548922,5.04286072883615e-30
"MTUS2",-2.635472179681,2.3241056346463e-29
"CAMK2A",-7.16057833718883,2.39059640164478e-29
"LGI3",-5.47242752440039,2.98535441176197e-29
"TMEM191A",-2.86331016406318,3.51918434322157e-29
"GABRA4",-6.22992094577923,3.59573836556475e-29
"PRSS2",-1.88406209183485,4.05384907314352e-29
"LINC00950",-2.08534326555267,1.86512446202715e-28
"RGS7BP",-6.00413240273708,2.49449900958392e-28
"ANKRD34A",-5.74513047988087,2.73732380824545e-28
"STYK1",-4.09668889477476,1.91978317467251e-27
"NPM2",-3.75877872831111,2.06932034334394e-27
"ARHGDIG",-5.51073701142748,6.1310661550178e-27
"IQSEC3",-4.35129923401756,8.4557830116281e-27
"NEDD1",3.30248540519506,2.56672434283027e-26
"RYR2",-5.18313549187627,3.4654378798766e-26
"PVALB",-7.0877786066455,4.88757936864938e-26
"CAMTA2",-2.66490885626522,6.35700932473237e-26
"SCN2B",-6.67130611443682,8.29071504237158e-26
"ABLIM2",-4.71821638039041,1.22121500744998e-25
"CCKBR",-3.91488082399967,1.61559361855715e-25
"CYP4X1",-5.24597316749106,1.61559361855715e-25
"CPNE9",-4.32117405294688,1.75026362966171e-25
"LOC285147",-5.72201265650132,1.86398894933912e-25
"UHRF1",5.82854747315332,2.81727191487356e-25
"KIAA0513",-3.97646810351776,3.05273856397743e-25
"CABP1",-4.84460735846009,6.87217968184582e-25
"IPCEF1",-6.71853812981065,9.7286315855174e-25
"CHST14",3.45065919100486,2.1789302675291e-24
"BTBD9",-2.8533328400242,2.62144984669918e-24
"SNAI3-AS1",-1.11606742046529,2.66093481958226e-24
"TMEM218",2.68349394791821,2.80932093721081e-24
"CTXN3",-4.32996785846318,3.18917992790144e-24
"RFPL2",-2.27632589327482,3.96462061363663e-24
"CREG2",-5.0158851204405,6.93295368011281e-24
"WDR5B",3.13217067887127,9.68669097957938e-24
"KCNAB2",-4.75501561851499,1.66050710618446e-23
"LINC01123",-3.93296066339981,1.71049553299612e-23
"DGKZ",-2.99747473717463,1.71049553299612e-23
"CLEC2L",-5.60192254743465,2.33222335859985e-23
"GAD2",-6.00240600894458,2.94543104612988e-23
"PACSIN1",-8.56083676759764,3.21498503401571e-23
"SYT5",-2.90057048960276,3.35569686492288e-23
"OR2L13",-3.15120221662183,3.97438192971484e-23
"LOC101930363",-5.55387373542341,3.97438192971484e-23
"SEC14L5",-5.37546771379132,5.13145327374766e-23
"CARTPT",-3.05992881254925,5.69827320370891e-23
"CDK2",4.2280248975806,5.91620679450244e-23
"VEZF1",2.45732602733339,6.28321175403192e-23
"INPP5J",-2.29833081407022,9.73578404621086e-23
"NUP37",3.02568179187206,1.17810156119542e-22
"BSN",-5.61333096140474,1.26003246286696e-22
"GOT1",-2.73918422587574,1.26691013963009e-22
"RBM12",1.82136350491683,1.41482262873256e-22
"ARHGAP44",-5.30089024847581,2.83034716223265e-22
"SNCB",-6.34279428273235,3.64170465748557e-22
"LINC00507",-4.33506160299336,3.88822885238918e-22
"CACNG3",-5.98277176052202,4.93382805270523e-22
"TRPM2",-2.52266366578048,4.93382805270523e-22
"RAB40B",-3.15232705573044,5.14709508421379e-22
"PIN1",-1.70378090714004,5.16639222408342e-22
"PRSS3P2",-1.04347723365352,6.0753456681547e-22
"KCNH3",-4.22919342962196,7.26704334954742e-22
"SLC12A5",-8.60194804339238,7.87490937976327e-22
"NKAIN2",-5.30988945193492,1.10267992188762e-21
"ABCG4",-2.89319524281052,1.24777168092464e-21
"STX1B",-4.33037517499421,1.76392678940805e-21
"MARCH11",-4.32884069454885,1.98772935085758e-21
"DLG2",-5.78200800749895,2.13130352764927e-21
"TMEM151A",-4.38527009731046,2.16585224910603e-21
"RELL2",-3.78785339142071,2.49659144355176e-21
"LINC00889",-4.71704153366286,2.49977961471512e-21
"KRTAP5-AS1",-2.39185662051585,3.16090481920896e-21
"KCNJ9",-6.82736620754556,3.61227139610506e-21
"LRTM2",-2.88553673753662,3.69405375795826e-21
"PPFIA3",-3.51258232143787,3.74677885562121e-21
"KCNV1",-4.45842642091072,4.51121456985714e-21
"NCDN",-3.84698907561269,5.0364244472683e-21
"SYN2",-7.09132788980474,6.5048009480011e-21
"MFSD4A",-5.49777075926792,6.52123317134926e-21
"MDH1",-1.51403772107101,8.86960607504651e-21
"FRMPD4",-5.8880038960238,1.2325808772204e-20
"LY86-AS1",-3.46957984816233,2.00867395802837e-20
"LOC102725213",-2.40526012295549,2.06782733781934e-20
"F2R",4.52537741407843,2.20649366761249e-20
"ENTPD3",-4.51749945321447,2.44507485099943e-20
"STAR",-2.12245594108514,2.6968850445367e-20
"DPH6",2.77911116442124,3.47002495480381e-20
"SHANK1",-1.85924383093761,3.47002495480381e-20
"MIR4745",1.99718176964398,3.48869542446678e-20
"IQSEC2",-2.49178861545076,4.00918922500129e-20
"ADAM11",-5.26182480471559,4.42035531402861e-20
"GPR22",-3.87906995510908,5.5115793804952e-20
