"from","to","combined_score"
"9606.ENSP00000009530","9606.ENSP00000046794",615
"9606.ENSP00000009530","9606.ENSP00000046794",615
"9606.ENSP00000006053","9606.ENSP00000162749",586
"9606.ENSP00000006053","9606.ENSP00000162749",586
"9606.ENSP00000053867","9606.ENSP00000162749",803
"9606.ENSP00000053867","9606.ENSP00000162749",803
"9606.ENSP00000005284","9606.ENSP00000164133",662
"9606.ENSP00000005284","9606.ENSP00000164133",662
"9606.ENSP00000075120","9606.ENSP00000164139",404
"9606.ENSP00000075120","9606.ENSP00000164139",404
"9606.ENSP00000074304","9606.ENSP00000180173",910
"9606.ENSP00000074304","9606.ENSP00000180173",910
"9606.ENSP00000005178","9606.ENSP00000196371",403
"9606.ENSP00000005178","9606.ENSP00000196371",403
"9606.ENSP00000020945","9606.ENSP00000204604",410
"9606.ENSP00000020945","9606.ENSP00000204604",410
"9606.ENSP00000182527","9606.ENSP00000206423",481
"9606.ENSP00000182527","9606.ENSP00000206423",481
"9606.ENSP00000053867","9606.ENSP00000215095",489
"9606.ENSP00000053867","9606.ENSP00000215095",489
"9606.ENSP00000162749","9606.ENSP00000215631",480
"9606.ENSP00000162749","9606.ENSP00000215631",480
"9606.ENSP00000196061","9606.ENSP00000215631",422
"9606.ENSP00000196061","9606.ENSP00000215631",422
"9606.ENSP00000053867","9606.ENSP00000215882",803
"9606.ENSP00000053867","9606.ENSP00000215882",803
"9606.ENSP00000215095","9606.ENSP00000215882",468
"9606.ENSP00000215095","9606.ENSP00000215882",468
"9606.ENSP00000009530","9606.ENSP00000215957",497
"9606.ENSP00000009530","9606.ENSP00000215957",497
"9606.ENSP00000160827","9606.ENSP00000215980",547
"9606.ENSP00000160827","9606.ENSP00000215980",547
"9606.ENSP00000164133","9606.ENSP00000216037",750
"9606.ENSP00000164133","9606.ENSP00000216037",750
"9606.ENSP00000162749","9606.ENSP00000216117",435
"9606.ENSP00000162749","9606.ENSP00000216117",435
"9606.ENSP00000216037","9606.ENSP00000216117",447
"9606.ENSP00000216037","9606.ENSP00000216117",447
"9606.ENSP00000055077","9606.ENSP00000216122",874
"9606.ENSP00000055077","9606.ENSP00000216122",874
"9606.ENSP00000160827","9606.ENSP00000216122",653
"9606.ENSP00000160827","9606.ENSP00000216122",653
"9606.ENSP00000215980","9606.ENSP00000216122",575
"9606.ENSP00000215980","9606.ENSP00000216122",575
"9606.ENSP00000216117","9606.ENSP00000216122",415
"9606.ENSP00000216117","9606.ENSP00000216122",415
"9606.ENSP00000001146","9606.ENSP00000216127",490
"9606.ENSP00000001146","9606.ENSP00000216127",490
"9606.ENSP00000204566","9606.ENSP00000216366",603
"9606.ENSP00000204566","9606.ENSP00000216366",603
"9606.ENSP00000053867","9606.ENSP00000216367",797
"9606.ENSP00000053867","9606.ENSP00000216367",797
"9606.ENSP00000055077","9606.ENSP00000216367",833
"9606.ENSP00000055077","9606.ENSP00000216367",833
"9606.ENSP00000215095","9606.ENSP00000216367",439
"9606.ENSP00000215095","9606.ENSP00000216367",439
"9606.ENSP00000215882","9606.ENSP00000216367",810
"9606.ENSP00000215882","9606.ENSP00000216367",810
"9606.ENSP00000216122","9606.ENSP00000216367",998
"9606.ENSP00000216122","9606.ENSP00000216367",998
"9606.ENSP00000075120","9606.ENSP00000216392",434
"9606.ENSP00000075120","9606.ENSP00000216392",434
"9606.ENSP00000164139","9606.ENSP00000216392",955
"9606.ENSP00000164139","9606.ENSP00000216392",955
"9606.ENSP00000009530","9606.ENSP00000216714",449
"9606.ENSP00000009530","9606.ENSP00000216714",449
"9606.ENSP00000055077","9606.ENSP00000216714",635
