"GeneSymbol","STRING_id"
"ANKRD34C","9606.ENSP00000401089"
"GLS2","9606.ENSP00000310447"
"CARMIL2","9606.ENSP00000334958"
"CNNM1","9606.ENSP00000349147"
"PRSS3","9606.ENSP00000354280"
"SDR16C5","9606.ENSP00000431010"
"GJB6","9606.ENSP00000494468"
"GPR26","9606.ENSP00000284674"
"VWA5B2","9606.ENSP00000398688"
"SLC32A1","9606.ENSP00000217420"
"EGR4","9606.ENSP00000445626"
"SPTB","9606.ENSP00000495909"
"SLC6A17","9606.ENSP00000330199"
"PHF24","9606.ENSP00000242315"
"OTUD7A","9606.ENSP00000305926"
"WEE1","9606.ENSP00000402084"
"MTUS2","9606.ENSP00000498251"
"CAMK2A","9606.ENSP00000500386"
"LGI3","9606.ENSP00000302297"
"GABRA4","9606.ENSP00000264318"
"PRSS2","9606.ENSP00000488437"
"LINC00950","9606.ENSP00000367230"
"RGS7BP","9606.ENSP00000334851"
"ANKRD34A","9606.ENSP00000475189"
"STYK1","9606.ENSP00000075503"
"NPM2","9606.ENSP00000381032"
"ARHGDIG","9606.ENSP00000219409"
"IQSEC3","9606.ENSP00000437554"
"NEDD1","9606.ENSP00000451211"
"RYR2","9606.ENSP00000355533"
"PVALB","9606.ENSP00000216200"
"CAMTA2","9606.ENSP00000412886"
"SCN2B","9606.ENSP00000278947"
"ABLIM2","9606.ENSP00000393511"
"CCKBR","9606.ENSP00000435534"
"CYP4X1","9606.ENSP00000360968"
"CPNE9","9606.ENSP00000373343"
"UHRF1","9606.ENSP00000479617"
"KIAA0513","9606.ENSP00000457408"
"CABP1","9606.ENSP00000317310"
"IPCEF1","9606.ENSP00000394751"
"CHST14","9606.ENSP00000307297"
"BTBD9","9606.ENSP00000418751"
"TMEM218","9606.ENSP00000436596"
"CTXN3","9606.ENSP00000368758"
"RFPL2","9606.ENSP00000383096"
"CREG2","9606.ENSP00000315203"
"WDR5B","9606.ENSP00000330381"
"KCNAB2","9606.ENSP00000367323"
"DGKZ","9606.ENSP00000412178"
"CLEC2L","9606.ENSP00000390661"
"GAD2","9606.ENSP00000365437"
"PACSIN1","9606.ENSP00000484060"
"SYT5","9606.ENSP00000346265"
"OR2L13","9606.ENSP00000493075"
"SEC14L5","9606.ENSP00000251170"
"CARTPT","9606.ENSP00000296777"
"CDK2","9606.ENSP00000266970"
"VEZF1","9606.ENSP00000462337"
"INPP5J","9606.ENSP00000333262"
