"name","GeneSymbol","logFC","adj.P.Val","Status"
"ANKRD34C","ANKRD34C",-5.65388765095549,1.34921110210806e-52,"Down"
"GLS2","GLS2",-5.50193731906101,2.57151902914915e-41,"Down"
"CARMIL2","CARMIL2",-3.20595105415391,1.87333575183099e-40,"Down"
"CNNM1","CNNM1",-4.82352494569711,1.71141828281125e-39,"Down"
"PRSS3","PRSS3",-4.66858115750217,2.29369438220238e-38,"Down"
"DCTN1-AS1","DCTN1-AS1",-4.1485630911666,4.89384412963148e-38,"Down"
"SDR16C5","SDR16C5",-4.00997903277331,2.80565154391068e-36,"Down"
"GJB6","GJB6",-9.29804683670895,1.35626347531504e-35,"Down"
"GPR26","GPR26",-4.11747115450651,1.89576764366921e-35,"Down"
"VWA5B2","VWA5B2",-2.12729785715431,5.48819311666727e-35,"Down"
"SLC32A1","SLC32A1",-5.87105477311749,9.52403824541849e-35,"Down"
"EGR4","EGR4",-6.97362303416122,1.75129999402935e-34,"Down"
"SPTB","SPTB",-4.92237891763531,5.22010200648272e-34,"Down"
"SLC6A17","SLC6A17",-4.30634511010763,5.72891196017981e-33,"Down"
"PHF24","PHF24",-5.73578287565497,1.48295608885162e-32,"Down"
"HAR1A","HAR1A",-3.41108680584846,1.89393658838008e-31,"Down"
"OTUD7A","OTUD7A",-4.62423528900763,3.83787593458939e-30,"Down"
"WEE1","WEE1",5.40032028548922,5.04286072883615e-30,"Up"
"MTUS2","MTUS2",-2.635472179681,2.3241056346463e-29,"Down"
"CAMK2A","CAMK2A",-7.16057833718883,2.39059640164478e-29,"Down"
"LGI3","LGI3",-5.47242752440039,2.98535441176197e-29,"Down"
"TMEM191A","TMEM191A",-2.86331016406318,3.51918434322157e-29,"Down"
"GABRA4","GABRA4",-6.22992094577923,3.59573836556475e-29,"Down"
"PRSS2","PRSS2",-1.88406209183485,4.05384907314352e-29,"Down"
"LINC00950","LINC00950",-2.08534326555267,1.86512446202715e-28,"Down"
"RGS7BP","RGS7BP",-6.00413240273708,2.49449900958392e-28,"Down"
"ANKRD34A","ANKRD34A",-5.74513047988087,2.73732380824545e-28,"Down"
"STYK1","STYK1",-4.09668889477476,1.91978317467251e-27,"Down"
"NPM2","NPM2",-3.75877872831111,2.06932034334394e-27,"Down"
"ARHGDIG","ARHGDIG",-5.51073701142748,6.1310661550178e-27,"Down"
